DAY_HOUR,raw,diff,precip,label
01-00,0.126,0.0,0.0,0
01-01,0.126,0.0,0.0,0
01-02,0.125,-0.0010000000000000009,0.0,0
01-03,0.125,0.0,0.0,0
01-04,0.124,-0.0010000000000000009,0.0,0
01-05,0.12300000000000001,-0.000999999999999987,0.0,0
01-06,0.12300000000000001,0.0,0.0,0
01-07,0.122,-0.0010000000000000148,0.0,0
01-08,0.122,0.0,0.0,0
01-09,0.121,-0.0010000000000000009,0.0,0
01-10,0.121,0.0,0.0,0
01-11,0.121,0.0,0.0,0
01-12,0.11900000000000001,-0.001999999999999988,0.0,0
01-13,0.11900000000000001,0.0,0.2,0
01-14,0.11900000000000001,0.0,0.0,0
01-15,0.11800000000000001,-0.0010000000000000009,0.3,0
01-16,0.11800000000000001,0.0,0.0,0
01-17,0.11699999999999999,-0.0010000000000000148,0.0,0
01-18,0.11599999999999999,-0.0010000000000000009,0.0,0
01-19,0.115,-0.000999999999999987,0.0,0
01-20,0.114,-0.0010000000000000009,0.0,0
01-21,0.114,0.0,0.0,0
01-22,0.114,0.0,0.0,0
01-23,0.113,-0.0010000000000000009,0.0,0
02-00,0.11199999999999999,-0.0010000000000000148,0.0,0
02-01,0.11199999999999999,0.0,0.0,0
02-02,0.11199999999999999,0.0,0.0,0
02-03,0.111,-0.000999999999999987,0.0,0
02-04,0.111,0.0,0.0,0
02-05,0.111,0.0,0.0,0
02-06,0.111,0.0,0.0,0
02-07,0.111,0.0,0.0,0
02-08,0.111,0.0,0.0,0
02-09,0.111,0.0,0.0,0
02-10,0.111,0.0,0.0,0
02-11,0.111,0.0,0.0,0
02-12,0.11,-0.0010000000000000009,0.0,0
02-13,0.11,0.0,0.2,0
02-14,0.11,0.0,0.0,0
02-15,0.11,0.0,0.0,0
02-16,0.11,0.0,0.0,0
02-17,0.11,0.0,0.0,0
02-18,0.11,0.0,0.0,0
02-19,0.109,-0.0010000000000000009,0.0,0
02-20,0.109,0.0,0.0,0
02-21,0.109,0.0,0.0,0
02-22,0.10800000000000001,-0.000999999999999987,0.0,0
02-23,0.10800000000000001,0.0,0.0,0
03-00,0.10800000000000001,0.0,0.0,0
03-01,0.10800000000000001,0.0,0.0,0
03-02,0.10800000000000001,0.0,0.0,0
03-03,0.10800000000000001,0.0,0.0,0
03-04,0.10800000000000001,0.0,0.0,0
03-05,0.10800000000000001,0.0,0.0,0
03-06,1.8519999999999999,1.7439999999999998,0.0,1
03-07,0.10800000000000001,-1.7439999999999998,0.0,0
03-08,0.107,-0.0010000000000000148,0.0,0
03-09,0.107,0.0,0.0,0
03-10,0.107,0.0,0.0,0
03-11,0.107,0.0,0.0,0
03-12,0.107,0.0,0.0,0
03-13,0.107,0.0,0.4,0
03-14,0.107,0.0,0.0,0
03-15,0.107,0.0,0.0,0
03-16,0.107,0.0,0.0,0
03-17,0.106,-0.0010000000000000009,0.0,0
03-18,0.106,0.0,0.0,0
03-19,0.106,0.0,0.0,0
03-20,0.106,0.0,0.0,0
03-21,0.106,0.0,0.0,0
03-22,0.106,0.0,0.0,0
03-23,0.106,0.0,0.0,0
04-00,0.106,0.0,0.0,0
04-01,0.105,-0.0010000000000000009,0.0,0
04-02,0.105,0.0,0.0,0
04-03,0.105,0.0,0.0,0
04-04,0.105,0.0,0.0,0
04-05,0.105,0.0,0.0,0
04-06,0.105,0.0,0.0,0
04-07,0.105,0.0,0.0,0
04-08,0.105,0.0,0.0,0
04-09,0.105,0.0,0.0,0
04-10,0.105,0.0,0.0,0
04-11,0.10400000000000001,-0.000999999999999987,0.0,0
04-12,0.10400000000000001,0.0,0.2,0
04-13,0.10400000000000001,0.0,0.0,0
04-14,0.97,0.866,0.0,1
04-15,0.10400000000000001,-0.866,0.0,0
04-16,0.10300000000000001,-0.0010000000000000009,0.0,0
04-17,0.10300000000000001,0.0,0.0,0
04-18,0.10300000000000001,0.0,0.0,0
04-19,0.10300000000000001,0.0,0.0,0
04-20,0.10300000000000001,0.0,0.0,0
04-21,0.10300000000000001,0.0,0.0,0
04-22,0.9159999999999999,0.813,0.0,1
04-23,0.10300000000000001,-0.813,0.0,0
05-00,0.102,-0.0010000000000000148,0.0,0
05-01,0.9440000000000001,0.8420000000000001,0.0,1
05-02,0.102,-0.8420000000000001,0.0,0
05-03,0.102,0.0,0.0,0
05-04,0.102,0.0,0.0,0
05-05,0.102,0.0,0.0,0
05-06,0.102,0.0,0.0,0
05-07,0.102,0.0,0.0,0
05-08,0.102,0.0,0.0,0
05-09,0.102,0.0,0.0,0
05-10,0.102,0.0,0.0,0
05-11,0.102,0.0,0.0,0
05-12,0.102,0.0,0.0,0
05-13,0.10099999999999999,-0.0010000000000000009,0.2,0
05-14,0.934,0.8330000000000001,0.0,1
05-15,0.10099999999999999,-0.8330000000000001,0.0,0
05-16,0.10099999999999999,0.0,0.0,0
05-17,0.10099999999999999,0.0,0.0,0
05-18,0.10099999999999999,0.0,0.0,0
05-19,0.10099999999999999,0.0,0.0,0
05-20,0.1,-0.000999999999999987,0.0,0
05-21,0.1,0.0,0.0,0
05-22,0.1,0.0,0.0,0
05-23,0.1,0.0,0.0,0
06-00,0.1,0.0,0.0,0
06-01,0.099,-0.0010000000000000009,0.0,0
06-02,0.099,0.0,0.0,0
06-03,0.9990000000000001,0.9000000000000001,0.0,1
06-04,0.9159999999999999,-0.08300000000000018,0.0,0
06-05,0.099,-0.817,0.0,0
06-06,0.099,0.0,0.0,0
06-07,0.099,0.0,0.0,0
06-08,0.099,0.0,0.0,0
06-09,0.099,0.0,0.0,0
06-10,0.099,0.0,0.0,0
06-11,0.099,0.0,0.0,0
06-12,0.099,0.0,0.0,0
06-13,0.098,-0.0010000000000000009,0.0,0
06-14,0.098,0.0,0.2,0
06-15,0.098,0.0,0.0,0
06-16,0.098,0.0,0.0,0
06-17,0.098,0.0,0.0,0
06-18,0.098,0.0,0.0,0
06-19,0.9059999999999999,0.8079999999999999,0.0,1
06-20,0.069,-0.837,0.0,0
06-21,0.36700000000000005,0.29800000000000004,0.0,0
06-22,0.092,-0.275,0.0,0
06-23,0.364,0.272,0.0,0
07-00,0.09699999999999999,-0.267,0.0,0
07-01,0.09699999999999999,0.0,0.0,0
07-02,0.09699999999999999,0.0,0.0,0
07-03,0.09699999999999999,0.0,0.0,0
07-04,1.6540000000000001,1.5570000000000002,0.0,1
07-05,0.096,-1.558,0.0,0
07-06,0.09699999999999999,0.000999999999999987,0.0,0
07-07,0.096,-0.000999999999999987,0.0,0
07-08,0.096,0.0,0.0,0
07-09,0.096,0.0,0.0,0
07-10,0.096,0.0,0.0,0
07-11,0.091,-0.0050000000000000044,0.0,0
07-12,0.36,0.269,0.0,0
07-13,0.096,-0.264,0.4,0
07-14,0.096,0.0,0.0,0
07-15,0.096,0.0,0.2,0
07-16,0.095,-0.0010000000000000009,0.0,0
07-17,0.096,0.0010000000000000009,0.0,0
07-18,0.095,-0.0010000000000000009,0.0,0
07-19,0.095,0.0,0.0,0
07-20,0.095,0.0,0.0,0
07-21,0.095,0.0,14.4,0
07-22,0.13699999999999998,0.04199999999999998,34.0,0
07-23,0.25,0.11300000000000002,15.0,0
08-00,2.2359999999999998,1.9859999999999998,5.1,1
