DAY_HOUR,raw,diff,precip,label
01-00,0.107,0.0,0.0,0
01-01,0.107,0.0,0.0,0
01-02,0.107,0.0,0.0,0
01-03,0.107,0.0,0.0,0
01-04,0.107,0.0,0.0,0
01-05,0.107,0.0,0.0,0
01-06,0.107,0.0,0.0,0
01-07,0.107,0.0,0.0,0
01-08,0.107,0.0,0.0,0
01-09,0.107,0.0,0.0,0
01-10,0.107,0.0,0.0,0
01-11,0.107,0.0,0.0,0
01-12,0.107,0.0,0.0,0
01-13,0.107,0.0,0.2,0
01-14,0.107,0.0,0.0,0
01-15,0.107,0.0,0.3,0
01-16,0.107,0.0,0.0,0
01-17,0.107,0.0,0.0,0
01-18,0.107,0.0,0.0,0
01-19,0.107,0.0,0.0,0
01-20,0.107,0.0,0.0,0
01-21,0.107,0.0,0.0,0
01-22,0.107,0.0,0.0,0
01-23,0.107,0.0,0.0,0
02-00,0.107,0.0,0.0,0
02-01,0.107,0.0,0.0,0
02-02,0.107,0.0,0.0,0
02-03,0.107,0.0,0.0,0
02-04,0.107,0.0,0.0,0
02-05,0.107,0.0,0.0,0
02-06,0.107,0.0,0.0,0
02-07,0.107,0.0,0.0,0
02-08,0.107,0.0,0.0,0
02-09,0.107,0.0,0.0,0
02-10,0.107,0.0,0.0,0
02-11,0.107,0.0,0.0,0
02-12,0.107,0.0,0.0,0
02-13,0.107,0.0,0.2,0
02-14,0.107,0.0,0.0,0
02-15,0.107,0.0,0.0,0
02-16,0.106,-0.0010000000000000009,0.0,0
02-17,0.106,0.0,0.0,0
02-18,0.106,0.0,0.0,0
02-19,0.106,0.0,0.0,0
02-20,0.106,0.0,0.0,0
02-21,0.106,0.0,0.0,0
02-22,0.106,0.0,0.0,0
02-23,0.106,0.0,0.0,0
03-00,0.981,0.875,0.0,1
03-01,0.106,-0.875,0.0,0
03-02,0.106,0.0,0.0,0
03-03,0.106,0.0,0.0,0
03-04,0.106,0.0,0.0,0
03-05,0.106,0.0,0.0,0
03-06,0.9520000000000001,0.8460000000000001,0.0,1
03-07,0.106,-0.8460000000000001,0.0,0
03-08,0.106,0.0,0.0,0
03-09,0.106,0.0,0.0,0
03-10,0.106,0.0,0.0,0
03-11,0.106,0.0,0.0,0
03-12,0.106,0.0,0.0,0
03-13,0.106,0.0,0.4,0
03-14,0.106,0.0,0.0,0
03-15,0.106,0.0,0.0,0
03-16,0.106,0.0,0.0,0
03-17,0.106,0.0,0.0,0
03-18,0.106,0.0,0.0,0
03-19,0.106,0.0,0.0,0
03-20,0.106,0.0,0.0,0
03-21,0.106,0.0,0.0,0
03-22,0.106,0.0,0.0,0
03-23,0.106,0.0,0.0,0
