DAY_HOUR,raw,diff,precip,label
01-00,0.135,0.0,0.0,0
01-01,0.134,-0.0010000000000000009,0.0,0
01-02,0.133,-0.0010000000000000009,0.0,0
01-03,0.133,0.0,0.0,0
01-04,0.133,0.0,0.0,0
01-05,0.132,-0.0010000000000000009,0.0,0
01-06,0.132,0.0,0.0,0
01-07,0.132,0.0,0.0,0
01-08,0.131,-0.0010000000000000009,0.0,0
01-09,0.131,0.0,0.0,0
01-10,0.13,-0.0010000000000000009,0.0,0
01-11,0.129,-0.0010000000000000009,0.0,0
01-12,0.129,0.0,0.0,0
01-13,0.128,-0.0010000000000000009,0.2,0
01-14,0.128,0.0,0.0,0
01-15,0.127,-0.0010000000000000009,0.3,0
01-16,0.126,-0.0010000000000000009,0.0,0
01-17,0.126,0.0,0.0,0
01-18,0.126,0.0,0.0,0
01-19,0.125,-0.0010000000000000009,0.0,0
01-20,0.124,-0.0010000000000000009,0.0,0
01-21,0.124,0.0,0.0,0
01-22,0.12300000000000001,-0.000999999999999987,0.0,0
01-23,0.12300000000000001,0.0,0.0,0
02-00,0.122,-0.0010000000000000148,0.0,0
02-01,0.122,0.0,0.0,0
02-02,0.122,0.0,0.0,0
02-03,0.121,-0.0010000000000000009,0.0,0
02-04,0.121,0.0,0.0,0
02-05,0.121,0.0,0.0,0
02-06,0.12,-0.0010000000000000009,0.0,0
02-07,0.12,0.0,0.0,0
02-08,0.11900000000000001,-0.000999999999999987,0.0,0
02-09,0.11900000000000001,0.0,0.0,0
02-10,0.11900000000000001,0.0,0.0,0
02-11,0.11800000000000001,-0.0010000000000000009,0.0,0
02-12,0.11800000000000001,0.0,0.0,0
02-13,0.11800000000000001,0.0,0.2,0
02-14,0.11699999999999999,-0.0010000000000000148,0.0,0
02-15,0.11599999999999999,-0.0010000000000000009,0.0,0
02-16,0.11699999999999999,0.0010000000000000009,0.0,0
02-17,0.11599999999999999,-0.0010000000000000009,0.0,0
02-18,0.115,-0.000999999999999987,0.0,0
02-19,0.114,-0.0010000000000000009,0.0,0
02-20,0.113,-0.0010000000000000009,0.0,0
02-21,0.11199999999999999,-0.0010000000000000148,0.0,0
02-22,0.111,-0.000999999999999987,0.0,0
02-23,0.11,-0.0010000000000000009,0.0,0
03-00,0.109,-0.0010000000000000009,0.0,0
03-01,0.109,0.0,0.0,0
03-02,0.10800000000000001,-0.000999999999999987,0.0,0
03-03,0.10800000000000001,0.0,0.0,0
03-04,0.107,-0.0010000000000000148,0.0,0
03-05,0.107,0.0,0.0,0
03-06,3.609,3.502,0.0,1
03-07,0.107,-3.502,0.0,0
03-08,0.107,0.0,0.0,0
03-09,0.107,0.0,0.0,0
03-10,0.107,0.0,0.0,0
03-11,0.107,0.0,0.0,0
03-12,0.107,0.0,0.0,0
03-13,0.107,0.0,0.4,0
03-14,0.107,0.0,0.0,0
03-15,0.106,-0.0010000000000000009,0.0,0
03-16,0.106,0.0,0.0,0
03-17,0.106,0.0,0.0,0
03-18,0.106,0.0,0.0,0
03-19,0.106,0.0,0.0,0
03-20,0.106,0.0,0.0,0
03-21,0.105,-0.0010000000000000009,0.0,0
03-22,0.105,0.0,0.0,0
03-23,0.105,0.0,0.0,0
04-00,0.105,0.0,0.0,0
04-01,0.105,0.0,0.0,0
04-02,0.105,0.0,0.0,0
04-03,0.105,0.0,0.0,0
04-04,0.105,0.0,0.0,0
04-05,0.105,0.0,0.0,0
04-06,0.105,0.0,0.0,0
04-07,0.105,0.0,0.0,0
04-08,0.105,0.0,0.0,0
04-09,0.105,0.0,0.0,0
04-10,0.105,0.0,0.0,0
04-11,0.105,0.0,0.0,0
04-12,0.105,0.0,0.2,0
04-13,0.105,0.0,0.0,0
04-14,1.05,0.9450000000000001,0.0,1
04-15,0.10400000000000001,-0.9460000000000001,0.0,0
04-16,0.10400000000000001,0.0,0.0,0
04-17,0.10400000000000001,0.0,0.0,0
04-18,0.961,0.857,0.0,1
04-19,0.10300000000000001,-0.858,0.0,0
04-20,0.10300000000000001,0.0,0.0,0
04-21,0.10300000000000001,0.0,0.0,0
04-22,0.924,0.8210000000000001,0.0,1
04-23,0.9520000000000001,0.028000000000000025,0.0,0
05-00,0.102,-0.8500000000000001,0.0,0
05-01,0.9440000000000001,0.8420000000000001,0.0,1
05-02,0.10300000000000001,-0.8410000000000001,0.0,0
05-03,0.102,-0.0010000000000000148,0.0,0
05-04,0.102,0.0,0.0,0
05-05,0.102,0.0,0.0,0
05-06,0.102,0.0,0.0,0
05-07,0.102,0.0,0.0,0
05-08,0.10099999999999999,-0.0010000000000000009,0.0,0
05-09,0.382,0.281,0.0,0
05-10,0.102,-0.28,0.0,0
05-11,0.102,0.0,0.0,0
05-12,0.102,0.0,0.0,0
05-13,0.102,0.0,0.2,0
05-14,0.102,0.0,0.0,0
05-15,0.102,0.0,0.0,0
05-16,0.102,0.0,0.0,0
05-17,0.102,0.0,0.0,0
05-18,0.102,0.0,0.0,0
05-19,0.10099999999999999,-0.0010000000000000009,0.0,0
05-20,0.10099999999999999,0.0,0.0,0
05-21,0.10099999999999999,0.0,0.0,0
05-22,0.1,-0.000999999999999987,0.0,0
05-23,0.10099999999999999,0.000999999999999987,0.0,0
06-00,0.1,-0.000999999999999987,0.0,0
06-01,0.10099999999999999,0.000999999999999987,0.0,0
06-02,0.10099999999999999,0.0,0.0,0
06-03,1.01,0.909,0.0,1
06-04,0.9259999999999999,-0.08400000000000007,0.0,0
06-05,0.1,-0.826,0.0,0
06-06,0.1,0.0,0.0,0
06-07,0.1,0.0,0.0,0
06-08,0.1,0.0,0.0,0
06-09,0.1,0.0,0.0,0
06-10,0.1,0.0,0.0,0
06-11,0.917,0.8170000000000001,0.0,1
06-12,0.1,-0.8170000000000001,0.0,0
06-13,0.1,0.0,0.0,0
06-14,0.1,0.0,0.2,0
06-15,0.1,0.0,0.0,0
06-16,0.099,-0.0010000000000000009,0.0,0
06-17,0.099,0.0,0.0,0
06-18,0.9159999999999999,0.817,0.0,1
06-19,0.915,-0.0009999999999998899,0.0,0
06-20,0.096,-0.8190000000000001,0.0,0
06-21,0.368,0.272,0.0,0
06-22,0.07200000000000001,-0.296,0.0,0
06-23,0.37,0.298,0.0,0
07-00,0.098,-0.272,0.0,0
07-01,0.098,0.0,0.0,0
07-02,0.09699999999999999,-0.0010000000000000148,0.0,0
07-03,0.098,0.0010000000000000148,0.0,0
07-04,1.6880000000000002,1.59,0.0,1
07-05,0.098,-1.59,0.0,0
07-06,0.098,0.0,0.0,0
07-07,0.098,0.0,0.0,0
07-08,0.098,0.0,0.0,0
07-09,0.09699999999999999,-0.0010000000000000148,0.0,0
07-10,0.09699999999999999,0.0,0.0,0
07-11,0.096,-0.000999999999999987,0.0,0
07-12,0.36700000000000005,0.271,0.0,0
07-13,0.09699999999999999,-0.2700000000000001,0.4,0
07-14,0.09699999999999999,0.0,0.0,0
07-15,0.09699999999999999,0.0,0.2,0
07-16,0.09699999999999999,0.0,0.0,0
07-17,0.09699999999999999,0.0,0.0,0
07-18,0.09699999999999999,0.0,0.0,0
07-19,0.09699999999999999,0.0,0.0,0
07-20,0.09699999999999999,0.0,0.0,0
07-21,0.09699999999999999,0.0,14.4,0
07-22,0.326,0.22900000000000004,34.0,0
07-23,3.162,2.836,15.0,1
08-00,1.7830000000000001,-1.3789999999999998,5.1,0
08-01,2.745,0.962,2.2,1
08-02,2.6519999999999997,-0.09300000000000042,0.0,0
08-03,2.423,-0.22899999999999965,0.6,0
08-04,2.131,-0.29200000000000026,0.0,0
08-05,1.901,-0.22999999999999976,0.0,0
08-06,1.824,-0.07699999999999996,0.0,0
08-07,1.9140000000000001,0.09000000000000008,0.0,0
08-08,3.52,1.6059999999999999,0.0,1
08-09,2.52,-1.0,0.0,0
08-10,1.965,-0.5549999999999999,0.0,0
08-11,4.34,2.375,0.0,1
08-12,0.139,-4.201,0.2,0
