DAY_HOUR,raw,diff,precip,label
01-00,0.10400000000000001,0.0,0.0,0
01-01,0.10400000000000001,0.0,0.0,0
01-02,0.10400000000000001,0.0,0.0,0
01-03,0.10400000000000001,0.0,0.0,0
01-04,0.10400000000000001,0.0,0.0,0
01-05,0.10400000000000001,0.0,0.0,0
01-06,0.10400000000000001,0.0,0.0,0
01-07,0.10400000000000001,0.0,0.0,0
01-08,0.10300000000000001,-0.0010000000000000009,0.0,0
01-09,0.10400000000000001,0.0010000000000000009,0.0,0
01-10,0.10400000000000001,0.0,0.0,0
01-11,0.10300000000000001,-0.0010000000000000009,0.0,0
01-12,0.10300000000000001,0.0,0.0,0
01-13,0.10300000000000001,0.0,0.2,0
01-14,0.10300000000000001,0.0,0.0,0
01-15,0.10300000000000001,0.0,0.3,0
01-16,0.10300000000000001,0.0,0.0,0
01-17,0.10300000000000001,0.0,0.0,0
01-18,0.10300000000000001,0.0,0.0,0
01-19,0.10300000000000001,0.0,0.0,0
01-20,0.10300000000000001,0.0,0.0,0
01-21,0.102,-0.0010000000000000148,0.0,0
01-22,0.10300000000000001,0.0010000000000000148,0.0,0
01-23,0.102,-0.0010000000000000148,0.0,0
02-00,0.102,0.0,0.0,0
02-01,0.102,0.0,0.0,0
02-02,0.102,0.0,0.0,0
02-03,0.102,0.0,0.0,0
02-04,0.102,0.0,0.0,0
02-05,0.102,0.0,0.0,0
02-06,0.102,0.0,0.0,0
02-07,0.102,0.0,0.0,0
02-08,0.102,0.0,0.0,0
02-09,0.102,0.0,0.0,0
02-10,0.102,0.0,0.0,0
02-11,0.102,0.0,0.0,0
02-12,0.102,0.0,0.0,0
02-13,0.102,0.0,0.2,0
02-14,0.102,0.0,0.0,0
02-15,0.10099999999999999,-0.0010000000000000009,0.0,0
02-16,0.10099999999999999,0.0,0.0,0
02-17,0.10099999999999999,0.0,0.0,0
02-18,0.10099999999999999,0.0,0.0,0
02-19,0.10099999999999999,0.0,0.0,0
02-20,0.10099999999999999,0.0,0.0,0
02-21,0.10099999999999999,0.0,0.0,0
02-22,0.10099999999999999,0.0,0.0,0
02-23,0.10099999999999999,0.0,0.0,0
03-00,0.1,-0.000999999999999987,0.0,0
03-01,0.1,0.0,0.0,0
03-02,0.1,0.0,0.0,0
03-03,0.1,0.0,0.0,0
03-04,0.1,0.0,0.0,0
03-05,0.1,0.0,0.0,0
03-06,0.925,0.8250000000000001,0.0,1
03-07,0.099,-0.8260000000000001,0.0,0
03-08,0.099,0.0,0.0,0
03-09,0.099,0.0,0.0,0
03-10,0.099,0.0,0.0,0
03-11,0.099,0.0,0.0,0
03-12,0.099,0.0,0.0,0
03-13,0.099,0.0,0.4,0
03-14,0.099,0.0,0.0,0
03-15,0.099,0.0,0.0,0
03-16,0.099,0.0,0.0,0
03-17,0.099,0.0,0.0,0
03-18,0.099,0.0,0.0,0
03-19,0.099,0.0,0.0,0
03-20,0.098,-0.0010000000000000009,0.0,0
03-21,0.098,0.0,0.0,0
03-22,0.098,0.0,0.0,0
03-23,0.098,0.0,0.0,0
04-00,0.098,0.0,0.0,0
04-01,0.098,0.0,0.0,0
04-02,0.098,0.0,0.0,0
04-03,0.098,0.0,0.0,0
04-04,0.098,0.0,0.0,0
04-05,0.098,0.0,0.0,0
04-06,0.098,0.0,0.0,0
04-07,0.09699999999999999,-0.0010000000000000148,0.0,0
04-08,0.09699999999999999,0.0,0.0,0
04-09,0.098,0.0010000000000000148,0.0,0
04-10,0.09699999999999999,-0.0010000000000000148,0.0,0
04-11,0.09699999999999999,0.0,0.0,0
04-12,0.09699999999999999,0.0,0.2,0
04-13,0.09699999999999999,0.0,0.0,0
04-14,0.09699999999999999,0.0,0.0,0
04-15,0.09699999999999999,0.0,0.0,0
04-16,0.897,0.8,0.0,1
04-17,0.09699999999999999,-0.8,0.0,0
04-18,0.09699999999999999,0.0,0.0,0
04-19,0.096,-0.000999999999999987,0.0,0
04-20,0.897,0.801,0.0,1
04-21,0.096,-0.801,0.0,0
04-22,0.096,0.0,0.0,0
04-23,0.096,0.0,0.0,0
05-00,0.096,0.0,0.0,0
05-01,0.096,0.0,0.0,0
05-02,0.096,0.0,0.0,0
05-03,0.096,0.0,0.0,0
05-04,0.096,0.0,0.0,0
05-05,0.095,-0.0010000000000000009,0.0,0
05-06,0.095,0.0,0.0,0
05-07,0.095,0.0,0.0,0
05-08,0.095,0.0,0.0,0
05-09,0.095,0.0,0.0,0
05-10,0.095,0.0,0.0,0
05-11,0.095,0.0,0.0,0
05-12,0.095,0.0,0.0,0
05-13,0.095,0.0,0.2,0
05-14,0.095,0.0,0.0,0
05-15,0.095,0.0,0.0,0
05-16,0.095,0.0,0.0,0
05-17,0.095,0.0,0.0,0
05-18,0.094,-0.0010000000000000009,0.0,0
05-19,0.87,0.776,0.0,1
05-20,0.094,-0.776,0.0,0
05-21,0.8690000000000001,0.7750000000000001,0.0,1
05-22,0.094,-0.7750000000000001,0.0,0
05-23,0.094,0.0,0.0,0
06-00,0.094,0.0,0.0,0
06-01,0.09300000000000001,-0.000999999999999987,0.0,0
06-02,0.094,0.000999999999999987,0.0,0
06-03,0.09300000000000001,-0.000999999999999987,0.0,0
06-04,0.09300000000000001,0.0,0.0,0
06-05,0.09300000000000001,0.0,0.0,0
06-06,0.09300000000000001,0.0,0.0,0
06-07,0.09300000000000001,0.0,0.0,0
06-08,0.094,0.000999999999999987,0.0,0
06-09,0.09300000000000001,-0.000999999999999987,0.0,0
06-10,0.09300000000000001,0.0,0.0,0
06-11,0.09300000000000001,0.0,0.0,0
06-12,0.09300000000000001,0.0,0.0,0
