DAY_HOUR,raw,diff,precip,label
01-00,0.102,0.0,0.0,0
01-01,0.10099999999999999,-0.0010000000000000009,0.0,0
01-02,0.102,0.0010000000000000009,0.0,0
01-03,0.10099999999999999,-0.0010000000000000009,0.0,0
01-04,0.099,-0.001999999999999988,0.0,0
01-05,0.1,0.0010000000000000009,0.0,0
01-06,0.099,-0.0010000000000000009,0.0,0
01-07,0.098,-0.0010000000000000009,0.0,0
01-08,0.098,0.0,0.0,0
01-09,0.09699999999999999,-0.0010000000000000148,0.0,0
01-10,0.096,-0.000999999999999987,0.0,0
01-11,0.095,-0.0010000000000000009,0.0,0
01-12,0.09699999999999999,0.001999999999999988,0.0,0
01-13,0.09699999999999999,0.0,0.2,0
01-14,0.096,-0.000999999999999987,0.0,0
01-15,0.095,-0.0010000000000000009,0.3,0
01-16,0.095,0.0,0.0,0
01-17,0.096,0.0010000000000000009,0.0,0
01-18,0.094,-0.0020000000000000018,0.0,0
01-19,0.094,0.0,0.0,0
01-20,0.095,0.0010000000000000009,0.0,0
01-21,0.09300000000000001,-0.001999999999999988,0.0,0
01-22,0.094,0.000999999999999987,0.0,0
01-23,0.094,0.0,0.0,0
02-00,0.092,-0.0020000000000000018,0.0,0
02-01,0.09300000000000001,0.0010000000000000148,0.0,0
02-02,0.09300000000000001,0.0,0.0,0
02-03,0.091,-0.0020000000000000157,0.0,0
02-04,0.09,-0.0010000000000000009,0.0,0
02-05,0.08900000000000001,-0.000999999999999987,0.0,0
02-06,0.09,0.000999999999999987,0.0,0
02-07,0.091,0.0010000000000000009,0.0,0
02-08,0.092,0.0010000000000000009,0.0,0
02-09,0.09,-0.0020000000000000018,0.0,0
02-10,0.09,0.0,0.0,0
02-11,0.09,0.0,0.0,0
02-12,0.08900000000000001,-0.000999999999999987,0.0,0
02-13,0.09,0.000999999999999987,0.2,0
02-14,0.09,0.0,0.0,0
02-15,0.08800000000000001,-0.001999999999999988,0.0,0
02-16,0.08800000000000001,0.0,0.0,0
02-17,0.08800000000000001,0.0,0.0,0
02-18,0.08800000000000001,0.0,0.0,0
02-19,0.087,-0.0010000000000000148,0.0,0
02-20,0.087,0.0,0.0,0
02-21,0.08800000000000001,0.0010000000000000148,0.0,0
02-22,0.087,-0.0010000000000000148,0.0,0
02-23,0.087,0.0,0.0,0
03-00,0.086,-0.0010000000000000009,0.0,0
03-01,0.086,0.0,0.0,0
03-02,0.085,-0.000999999999999987,0.0,0
03-03,0.085,0.0,0.0,0
03-04,0.084,-0.0010000000000000009,0.0,0
03-05,0.084,0.0,0.0,0
03-06,0.084,0.0,0.0,0
03-07,0.085,0.0010000000000000009,0.0,0
03-08,0.085,0.0,0.0,0
03-09,0.084,-0.0010000000000000009,0.0,0
03-10,0.084,0.0,0.0,0
03-11,0.084,0.0,0.0,0
03-12,0.084,0.0,0.0,0
03-13,0.084,0.0,0.4,0
03-14,0.08199999999999999,-0.0020000000000000157,0.0,0
03-15,0.083,0.0010000000000000148,0.0,0
03-16,0.084,0.0010000000000000009,0.0,0
03-17,0.083,-0.0010000000000000009,0.0,0
03-18,0.08199999999999999,-0.0010000000000000148,0.0,0
03-19,0.08,-0.001999999999999988,0.0,0
03-20,0.08199999999999999,0.001999999999999988,0.0,0
03-21,0.081,-0.000999999999999987,0.0,0
03-22,0.08199999999999999,0.000999999999999987,0.0,0
03-23,0.08199999999999999,0.0,0.0,0
04-00,0.081,-0.000999999999999987,0.0,0
04-01,0.081,0.0,0.0,0
04-02,0.081,0.0,0.0,0
04-03,0.08,-0.0010000000000000009,0.0,0
04-04,0.08,0.0,0.0,0
04-05,0.08,0.0,0.0,0
04-06,0.079,-0.0010000000000000009,0.0,0
04-07,0.079,0.0,0.0,0
04-08,0.08,0.0010000000000000009,0.0,0
04-09,0.08,0.0,0.0,0
04-10,0.08,0.0,0.0,0
04-11,0.081,0.0010000000000000009,0.0,0
04-12,0.079,-0.0020000000000000018,0.2,0
04-13,0.078,-0.0010000000000000009,0.0,0
04-14,1.05,0.9720000000000001,0.0,1
04-15,0.078,-0.9720000000000001,0.0,0
04-16,0.078,0.0,0.0,0
04-17,0.078,0.0,0.0,0
04-18,0.078,0.0,0.0,0
04-19,0.078,0.0,0.0,0
04-20,0.078,0.0,0.0,0
04-21,0.078,0.0,0.0,0
04-22,0.077,-0.0010000000000000009,0.0,0
04-23,0.076,-0.0010000000000000009,0.0,0
05-00,0.077,0.0010000000000000009,0.0,0
05-01,0.077,0.0,0.0,0
05-02,0.078,0.0010000000000000009,0.0,0
05-03,0.078,0.0,0.0,0
05-04,0.076,-0.0020000000000000018,0.0,0
05-05,0.076,0.0,0.0,0
05-06,0.075,-0.0010000000000000009,0.0,0
05-07,0.076,0.0010000000000000009,0.0,0
05-08,0.076,0.0,0.0,0
05-09,0.076,0.0,0.0,0
05-10,0.076,0.0,0.0,0
05-11,0.076,0.0,0.0,0
05-12,0.076,0.0,0.0,0
05-13,0.077,0.0010000000000000009,0.2,0
05-14,0.078,0.0010000000000000009,0.0,0
05-15,0.076,-0.0020000000000000018,0.0,0
05-16,0.077,0.0010000000000000009,0.0,0
05-17,0.076,-0.0010000000000000009,0.0,0
05-18,0.07400000000000001,-0.001999999999999988,0.0,0
05-19,0.07400000000000001,0.0,0.0,0
05-20,0.07400000000000001,0.0,0.0,0
05-21,0.073,-0.0010000000000000148,0.0,0
05-22,0.07400000000000001,0.0010000000000000148,0.0,0
05-23,0.07400000000000001,0.0,0.0,0
06-00,0.07400000000000001,0.0,0.0,0
06-01,0.073,-0.0010000000000000148,0.0,0
06-02,0.073,0.0,0.0,0
06-03,0.073,0.0,0.0,0
06-04,0.07400000000000001,0.0010000000000000148,0.0,0
06-05,0.07400000000000001,0.0,0.0,0
06-06,0.07400000000000001,0.0,0.0,0
06-07,0.07400000000000001,0.0,0.0,0
06-08,0.07400000000000001,0.0,0.0,0
06-09,0.075,0.000999999999999987,0.0,0
06-10,0.075,0.0,0.0,0
06-11,0.07200000000000001,-0.002999999999999989,0.0,0
06-12,0.07200000000000001,0.0,0.0,0
06-13,0.07200000000000001,0.0,0.0,0
06-14,0.073,0.000999999999999987,0.2,0
06-15,0.073,0.0,0.0,0
06-16,0.07400000000000001,0.0010000000000000148,0.0,0
06-17,0.07200000000000001,-0.0020000000000000018,0.0,0
06-18,0.071,-0.0010000000000000148,0.0,0
06-19,0.071,0.0,0.0,0
06-20,0.069,-0.001999999999999988,0.0,0
06-21,0.069,0.0,0.0,0
06-22,0.069,0.0,0.0,0
06-23,0.069,0.0,0.0,0
07-00,0.07,0.0010000000000000009,0.0,0
07-01,0.068,-0.0020000000000000018,0.0,0
07-02,0.069,0.0010000000000000009,0.0,0
07-03,0.069,0.0,0.0,0
07-04,0.069,0.0,0.0,0
07-05,0.069,0.0,0.0,0
07-06,0.069,0.0,0.0,0
07-07,0.069,0.0,0.0,0
07-08,0.07,0.0010000000000000009,0.0,0
07-09,0.07,0.0,0.0,0
07-10,0.07,0.0,0.0,0
07-11,0.07,0.0,0.0,0
07-12,0.069,-0.0010000000000000009,0.0,0
07-13,0.07,0.0010000000000000009,0.4,0
07-14,0.07,0.0,0.0,0
07-15,0.07,0.0,0.2,0
07-16,0.071,0.000999999999999987,0.0,0
07-17,0.07200000000000001,0.0010000000000000148,0.0,0
07-18,0.07,-0.0020000000000000018,0.0,0
07-19,0.069,-0.0010000000000000009,0.0,0
07-20,0.07,0.0010000000000000009,0.0,0
07-21,0.07,0.0,14.4,0
07-22,0.19699999999999998,0.12699999999999997,34.0,0
07-23,0.23,0.03300000000000003,15.0,0
08-00,0.2,-0.03,5.1,0
08-01,0.193,-0.007000000000000006,2.2,0
08-02,0.171,-0.021999999999999992,0.0,0
08-03,0.153,-0.018000000000000016,0.6,0
08-04,0.142,-0.01100000000000001,0.0,0
08-05,0.133,-0.00899999999999998,0.0,0
08-06,1.824,1.691,0.0,1
08-07,0.122,-1.702,0.0,0
08-08,0.11800000000000001,-0.00399999999999999,0.0,0
08-09,0.114,-0.0040000000000000036,0.0,0
08-10,0.11199999999999999,-0.0020000000000000157,0.0,0
08-11,0.109,-0.002999999999999989,0.0,0
08-12,0.10800000000000001,-0.000999999999999987,0.2,0
08-13,0.106,-0.0020000000000000157,0.0,0
08-14,0.10400000000000001,-0.001999999999999988,0.0,0
08-15,0.10300000000000001,-0.0010000000000000009,0.0,0
08-16,0.102,-0.0010000000000000148,0.0,0
08-17,0.10099999999999999,-0.0010000000000000009,0.3,0
08-18,0.10099999999999999,0.0,0.0,0
08-19,0.1,-0.000999999999999987,0.0,0
08-20,0.099,-0.0010000000000000009,0.0,0
08-21,0.096,-0.0030000000000000027,0.0,0
08-22,0.096,0.0,0.0,0
08-23,0.09699999999999999,0.000999999999999987,0.0,0
09-00,0.096,-0.000999999999999987,0.0,0
09-01,0.096,0.0,0.0,0
09-02,0.095,-0.0010000000000000009,0.0,0
09-03,0.094,-0.0010000000000000009,0.0,0
09-04,0.094,0.0,0.0,0
09-05,0.09300000000000001,-0.000999999999999987,0.0,0
09-06,0.09300000000000001,0.0,0.0,0
09-07,0.094,0.000999999999999987,0.0,0
09-08,0.09,-0.0040000000000000036,0.0,0
09-09,0.092,0.0020000000000000018,0.0,0
09-10,0.092,0.0,0.0,0
09-11,0.09,-0.0020000000000000018,0.0,0
09-12,0.09,0.0,0.0,0
09-13,0.091,0.0010000000000000009,0.0,0
09-14,0.09,-0.0010000000000000009,0.0,0
09-15,0.08900000000000001,-0.000999999999999987,0.0,0
09-16,0.08900000000000001,0.0,0.0,0
09-17,0.08900000000000001,0.0,0.0,0
09-18,0.08900000000000001,0.0,0.0,0
09-19,0.08800000000000001,-0.0010000000000000009,0.0,0
09-20,0.087,-0.0010000000000000148,0.0,0
09-21,0.08800000000000001,0.0010000000000000148,0.0,0
09-22,0.086,-0.0020000000000000157,0.0,0
09-23,0.086,0.0,0.0,0
10-00,0.085,-0.000999999999999987,0.0,0
10-01,0.084,-0.0010000000000000009,0.0,0
10-02,0.085,0.0010000000000000009,0.0,0
10-03,0.085,0.0,0.0,0
10-04,0.086,0.000999999999999987,0.0,0
10-05,0.084,-0.001999999999999988,0.0,0
10-06,0.085,0.0010000000000000009,0.0,0
10-07,0.084,-0.0010000000000000009,0.0,0
10-08,0.083,-0.0010000000000000009,0.0,0
10-09,0.084,0.0010000000000000009,0.0,0
10-10,0.084,0.0,0.0,0
10-11,0.083,-0.0010000000000000009,0.0,0
10-12,0.083,0.0,0.0,0
10-13,0.08199999999999999,-0.0010000000000000148,0.0,0
10-14,0.08199999999999999,0.0,0.2,0
10-15,0.08199999999999999,0.0,0.0,0
10-16,0.083,0.0010000000000000148,0.0,0
10-17,0.08199999999999999,-0.0010000000000000148,0.0,0
10-18,0.081,-0.000999999999999987,0.0,0
10-19,0.081,0.0,0.0,0
