,DAY_HOUR,H_M1005,A_M1005,H_M2005,A_M2005,H_M3005,A_M3005,H_M1010,A_M1010,H_M2010,A_M2010,H_M3010,A_M3010,H_M1020,A_M1020,H_M2020,A_M2020,H_M3020,A_M3020,H_M1050,A_M1050,H_M2050,A_M2050,H_M3050,A_M3050,H_M1100,A_M1100,H_M2100,A_M2100,H_M3100,A_M3100,P_OFFICIAL,MEAN_M_5,MEAN_M_10,MEAN_M_20,MEAN_M_50,MEAN_M_100
0,01-00,,,,0.231,0.204,,,,,0.233,0.222,,,0.371,0.296,,,0.379,,0.393,,,,,,0.337,,,,,0.0,0.2175,0.2275,0.3486666666666667,0.393,0.337
1,01-01,,,,0.231,0.204,,,,,0.233,0.22,,,0.371,0.295,,,0.379,,0.394,,,,,,0.337,,,,,0.0,0.2175,0.2265,0.3483333333333333,0.394,0.337
2,01-02,,,,0.231,0.204,,,,,0.232,0.221,,,0.371,0.295,,,0.379,,0.393,,,,,,0.337,,,,,0.0,0.2175,0.2265,0.3483333333333333,0.393,0.337
3,01-03,,,,0.231,0.204,,,,,0.234,0.22,,,0.372,0.295,,,0.378,,0.393,,,,,,0.337,,,,,0.0,0.2175,0.227,0.3483333333333333,0.393,0.337
4,01-04,,,,0.231,0.204,,,,,0.233,0.219,,,0.371,0.295,,,0.378,,0.393,,,,,,0.337,,,,,0.0,0.2175,0.226,0.348,0.393,0.337
5,01-05,,,,0.231,0.204,,,,,0.233,0.22,,,0.371,0.295,,,0.379,,0.393,,,,,,0.338,,,,,0.0,0.2175,0.2265,0.3483333333333333,0.393,0.338
6,01-06,,,,0.231,0.204,,,,,0.233,0.219,,,0.371,0.296,,,0.379,,0.393,,,,,,0.337,,,,,0.0,0.2175,0.226,0.3486666666666667,0.393,0.337
7,01-07,,,,0.231,0.204,,,,,0.233,0.219,,,0.371,0.295,,,0.378,,0.393,,,,,,0.338,,,,,0.0,0.2175,0.226,0.348,0.393,0.338
8,01-08,,,,0.231,0.205,,,,,0.233,0.22,,,0.371,0.296,,,0.378,,0.393,,,,,,0.337,,,,,0.0,0.218,0.2265,0.3483333333333333,0.393,0.337
9,01-09,,,,0.231,0.205,,,,,0.233,0.219,,,0.371,0.296,,,0.378,,0.393,,,,,,0.337,,,,,0.0,0.218,0.226,0.3483333333333333,0.393,0.337
10,01-10,,,,0.231,0.204,,,,,0.233,0.218,,,0.371,0.296,,,0.379,,0.393,,,,,,0.337,,,,,0.0,0.2175,0.2255,0.3486666666666667,0.393,0.337
11,01-11,,,,0.231,0.204,,,,,0.233,0.219,,,0.371,0.296,,,0.379,,0.393,,,,,,0.338,,,,,0.2,0.2175,0.226,0.3486666666666667,0.393,0.338
12,01-12,,,,0.231,0.204,,,,,0.233,0.218,,,0.371,0.297,,,0.379,,0.394,,,,,,0.337,,,,,0.0,0.2175,0.2255,0.349,0.394,0.337
13,01-13,,,,0.23,0.203,,,,,0.233,0.218,,,0.371,0.297,,,0.379,,0.393,,,,,,0.337,,,,,0.0,0.2165,0.2255,0.349,0.393,0.337
14,01-14,,,,0.23,0.202,,,,,0.233,0.217,,,0.371,0.296,,,0.378,,0.393,,,,,,0.338,,,,,0.0,0.216,0.225,0.3483333333333333,0.393,0.338
15,01-15,,,,0.229,0.2,,,,,0.232,0.215,,,0.371,0.296,,,0.378,,0.393,,,,,,0.338,,,,,0.0,0.2145,0.2235,0.3483333333333333,0.393,0.338
16,01-16,,,,0.227,0.199,,,,,0.231,0.213,,,0.371,0.296,,,0.378,,0.394,,,,,,0.338,,,,,0.0,0.213,0.222,0.3483333333333333,0.394,0.338
17,01-17,,,,0.226,0.198,,,,,0.229,0.211,,,0.37,0.295,,,0.377,,0.393,,,,,,0.338,,,,,0.0,0.212,0.22,0.3473333333333333,0.393,0.338
18,01-18,,,,0.224,0.196,,,,,0.228,0.209,,,0.369,0.294,,,0.378,,0.393,,,,,,0.337,,,,,0.0,0.21,0.2185,0.347,0.393,0.337
19,01-19,,,,0.223,0.194,,,,,0.226,0.207,,,0.37,0.293,,,0.377,,0.393,,,,,,0.338,,,,,0.0,0.2085,0.2165,0.3466666666666667,0.393,0.338
20,01-20,,,,0.221,0.193,,,,,0.225,0.205,,,0.369,0.293,,,0.376,,0.393,,,,,,0.337,,,,,0.0,0.207,0.215,0.3459999999999999,0.393,0.337
21,01-21,,,,0.221,0.191,,,,,0.223,0.204,,,0.369,0.293,,,0.376,,0.393,,,,,,0.337,,,,,0.0,0.206,0.2135,0.3459999999999999,0.393,0.337
22,01-22,,,,0.22,0.19,,,,,0.223,0.203,,,0.369,0.292,,,0.375,,0.393,,,,,,0.337,,,,,0.0,0.205,0.213,0.3453333333333333,0.393,0.337
23,01-23,,,,0.22,0.19,,,,,0.222,0.203,,,0.368,0.292,,,0.375,,0.393,,,,,,0.337,,,,,0.0,0.205,0.2125,0.345,0.393,0.337
24,02-00,,,,0.22,0.191,,,,,0.222,0.202,,,0.367,0.291,,,0.375,,0.393,,,,,,0.337,,,,,0.0,0.2055,0.212,0.3443333333333333,0.393,0.337
25,02-01,,,,0.22,0.191,,,,,0.222,0.202,,,0.367,0.29,,,0.374,,0.393,,,,,,0.337,,,,,0.0,0.2055,0.212,0.3436666666666667,0.393,0.337
26,02-02,,,,0.22,0.191,,,,,0.222,0.202,,,0.367,0.291,,,0.374,,0.393,,,,,,0.337,,,,,0.0,0.2055,0.212,0.344,0.393,0.337
27,02-03,,,,0.22,0.191,,,,,0.222,0.202,,,0.367,0.291,,,0.374,,0.393,,,,,,0.337,,,,,0.0,0.2055,0.212,0.344,0.393,0.337
