,DAY_HOUR,H_M1005,A_M1005,H_M2005,A_M2005,H_M3005,A_M3005,H_M1010,A_M1010,H_M2010,A_M2010,H_M3010,A_M3010,H_M1020,A_M1020,H_M2020,A_M2020,H_M3020,A_M3020,H_M1050,A_M1050,H_M2050,A_M2050,H_M3050,A_M3050,H_M1100,A_M1100,H_M2100,A_M2100,H_M3100,A_M3100,P_OFFICIAL,MEAN_M_5,MEAN_M_10,MEAN_M_20,MEAN_M_50,MEAN_M_100
548,23-23,,,,0.091,,,,,,0.095,,,,0.099,0.07,,,0.095,,0.101,,,,,,0.169,,,,,0.0,0.091,0.095,0.08800000000000001,0.101,0.169
549,24-00,,,,0.842,,,,,,0.949,,,,0.099,0.072,,,0.095,,0.101,,,,,,0.169,,,,,0.0,0.842,0.949,0.08866666666666667,0.101,0.169
550,24-01,,,,0.091,,,,,,0.094,,,,0.916,0.072,,,0.095,,0.943,,,,,,1.555,,,,,0.0,0.091,0.094,0.361,0.943,1.555
551,24-02,,,,0.091,,,,,,0.094,,,,0.099,0.072,,,0.095,,0.101,,,,,,0.169,,,,,0.0,0.091,0.094,0.08866666666666667,0.101,0.169
552,24-03,,,,0.091,,,,,,0.094,,,,0.099,0.072,,,0.095,,0.101,,,,,,0.169,,,,,0.0,0.091,0.094,0.08866666666666667,0.101,0.169
553,24-04,,,,0.091,,,,,,0.094,,,,0.099,0.071,,,0.095,,0.101,,,,,,0.169,,,,,0.0,0.091,0.094,0.08833333333333333,0.101,0.169
554,24-05,,,,0.091,,,,,,0.094,,,,0.099,0.071,,,0.095,,0.101,,,,,,0.169,,,,,0.0,0.091,0.094,0.08833333333333333,0.101,0.169
555,24-06,,,,0.091,,,,,,0.094,,,,0.099,0.071,,,0.095,,0.101,,,,,,0.169,,,,,0.0,0.091,0.094,0.08833333333333333,0.101,0.169
556,24-07,,,,0.091,,,,,,0.094,,,,0.099,0.07,,,0.094,,0.101,,,,,,0.169,,,,,0.0,0.091,0.094,0.08766666666666667,0.101,0.169
557,24-08,,,,0.091,,,,,,0.094,,,,0.099,0.071,,,0.095,,0.101,,,,,,0.169,,,,,0.0,0.091,0.094,0.08833333333333333,0.101,0.169
558,24-09,,,,0.091,,,,,,0.094,,,,0.099,0.072,,,0.094,,0.101,,,,,,0.169,,,,,0.0,0.091,0.094,0.08833333333333333,0.101,0.169
559,24-10,,,,0.091,,,,,,0.094,,,,0.099,0.068,,,0.094,,0.101,,,,,,0.169,,,,,0.0,0.091,0.094,0.08700000000000001,0.101,0.169
560,24-11,,,,0.091,,,,,,0.094,,,,0.099,0.07,,,0.095,,0.101,,,,,,0.169,,,,,0.0,0.091,0.094,0.08800000000000001,0.101,0.169
561,24-12,,,,0.09,,,,,,0.094,,,,0.099,0.07,,,0.094,,0.101,,,,,,0.169,,,,,0.0,0.09,0.094,0.08766666666666667,0.101,0.169
562,24-13,,,,0.091,,,,,,0.094,,,,0.099,0.07,,,0.094,,0.101,,,,,,0.169,,,,,0.0,0.091,0.094,0.08766666666666667,0.101,0.169
563,24-14,,,,0.09,,,,,,0.094,,,,0.099,0.071,,,0.095,,0.101,,,,,,0.169,,,,,0.4,0.09,0.094,0.08833333333333333,0.101,0.169
564,24-15,,,,0.09,,,,,,0.094,,,,0.099,0.07,,,0.095,,0.101,,,,,,0.168,,,,,0.0,0.09,0.094,0.08800000000000001,0.101,0.168
565,24-16,,,,0.09,,,,,,0.094,,,,0.099,0.07,,,0.094,,0.101,,,,,,0.168,,,,,0.0,0.09,0.094,0.08766666666666667,0.101,0.168
566,24-17,,,,0.09,,,,,,0.094,,,,0.099,0.07,,,0.094,,0.101,,,,,,0.169,,,,,0.0,0.09,0.094,0.08766666666666667,0.101,0.169
567,24-18,,,,0.09,,,,,,0.094,,,,0.099,0.071,,,0.094,,0.101,,,,,,0.169,,,,,0.0,0.09,0.094,0.08800000000000001,0.101,0.169
568,24-19,,,,0.09,,,,,,0.094,,,,0.099,0.071,,,0.094,,0.101,,,,,,0.168,,,,,0.0,0.09,0.094,0.08800000000000001,0.101,0.168
569,24-20,,,,0.089,,,,,,0.094,,,,0.099,0.072,,,0.094,,0.101,,,,,,0.169,,,,,0.0,0.089,0.094,0.08833333333333333,0.101,0.169
570,24-21,,,,0.089,,,,,,0.094,,,,0.098,0.072,,,0.094,,0.101,,,,,,0.169,,,,,0.0,0.089,0.094,0.08800000000000001,0.101,0.169
571,24-22,,,,0.089,,,,,,0.093,,,,0.099,0.071,,,0.094,,0.101,,,,,,0.169,,,,,0.0,0.089,0.093,0.08800000000000001,0.101,0.169
572,24-23,,,,0.089,,,,,,0.093,,,,0.098,0.072,,,0.094,,0.101,,,,,,0.169,,,,,0.0,0.089,0.093,0.08800000000000001,0.101,0.169
573,25-00,,,,0.089,,,,,,0.093,,,,0.099,0.071,,,0.094,,0.101,,,,,,0.168,,,,,0.0,0.089,0.093,0.08800000000000001,0.101,0.168
574,25-01,,,,0.089,,,,,,0.093,,,,0.098,0.071,,,0.094,,0.101,,,,,,0.169,,,,,0.0,0.089,0.093,0.08766666666666667,0.101,0.169
575,25-02,,,,0.089,,,,,,0.093,,,,0.098,0.071,,,0.094,,0.101,,,,,,0.169,,,,,0.0,0.089,0.093,0.08766666666666667,0.101,0.169
576,25-03,,,,0.09,,,,,,0.093,,,,0.099,0.071,,,0.094,,0.101,,,,,,0.169,,,,,0.0,0.09,0.093,0.08800000000000001,0.101,0.169
577,25-04,,,,0.089,,,,,,0.093,,,,0.098,0.071,,,0.094,,0.101,,,,,,0.169,,,,,0.0,0.089,0.093,0.08766666666666667,0.101,0.169
578,25-05,,,,0.089,,,,,,0.093,,,,0.098,0.071,,,0.094,,0.101,,,,,,0.169,,,,,0.0,0.089,0.093,0.08766666666666667,0.101,0.169
579,25-06,,,,0.089,,,,,,0.093,,,,0.098,0.071,,,0.094,,0.101,,,,,,0.169,,,,,0.0,0.089,0.093,0.08766666666666667,0.101,0.169
580,25-07,,,,0.089,,,,,,0.093,,,,0.099,0.072,,,0.094,,0.101,,,,,,0.169,,,,,0.0,0.089,0.093,0.08833333333333333,0.101,0.169
581,25-08,,,,0.089,,,,,,0.093,,,,0.099,0.072,,,0.094,,0.101,,,,,,0.169,,,,,0.0,0.089,0.093,0.08833333333333333,0.101,0.169
582,25-09,,,,0.089,,,,,,0.093,,,,0.098,0.072,,,0.094,,0.101,,,,,,0.169,,,,,0.0,0.089,0.093,0.08800000000000001,0.101,0.169
583,25-10,,,,0.089,,,,,,0.093,,,,0.098,0.072,,,0.094,,0.101,,,,,,0.169,,,,,0.0,0.089,0.093,0.08800000000000001,0.101,0.169
584,25-11,,,,0.089,,,,,,0.093,,,,0.098,0.072,,,0.094,,0.101,,,,,,0.169,,,,,0.0,0.089,0.093,0.08800000000000001,0.101,0.169
585,25-12,,,,0.089,,,,,,0.093,,,,0.098,0.071,,,0.094,,0.101,,,,,,0.169,,,,,0.0,0.089,0.093,0.08766666666666667,0.101,0.169
586,25-13,,,,0.089,,,,,,0.093,,,,0.098,0.072,,,0.094,,0.101,,,,,,0.169,,,,,0.0,0.089,0.093,0.08800000000000001,0.101,0.169
587,25-14,,,,0.089,,,,,,0.093,,,,0.098,0.072,,,0.093,,0.101,,,,,,0.169,,,,,0.5,0.089,0.093,0.08766666666666667,0.101,0.169
588,25-15,,,,0.089,,,,,,0.093,,,,0.098,0.071,,,0.094,,0.1,,,,,,0.169,,,,,0.0,0.089,0.093,0.08766666666666667,0.1,0.169
589,25-16,,,,0.089,,,,,,0.093,,,,0.098,0.072,,,0.093,,0.101,,,,,,0.169,,,,,0.0,0.089,0.093,0.08766666666666667,0.101,0.169
590,25-17,,,,0.089,,,,,,0.093,,,,0.098,0.071,,,0.093,,0.1,,,,,,0.168,,,,,0.0,0.089,0.093,0.08733333333333333,0.1,0.168
591,25-18,,,,0.089,,,,,,0.093,,,,0.098,0.071,,,0.093,,0.101,,,,,,0.168,,,,,0.0,0.089,0.093,0.08733333333333333,0.101,0.168
592,25-19,,,,0.089,,,,,,0.092,,,,0.098,0.071,,,0.093,,0.101,,,,,,0.169,,,,,0.0,0.089,0.092,0.08733333333333333,0.101,0.169
593,25-20,,,,0.089,,,,,,0.092,,,,0.098,0.07,,,0.093,,0.1,,,,,,0.169,,,,,0.0,0.089,0.092,0.08700000000000001,0.1,0.169
594,25-21,,,,0.089,,,,,,0.092,,,,0.098,0.071,,,0.093,,0.1,,,,,,0.169,,,,,0.0,0.089,0.092,0.08733333333333333,0.1,0.169
595,25-22,,,,0.088,,,,,,0.092,,,,0.097,0.071,,,0.093,,0.1,,,,,,0.169,,,,,0.0,0.088,0.092,0.08700000000000001,0.1,0.169
596,25-23,,,,0.089,,,,,,0.092,,,,0.098,0.071,,,0.093,,0.1,,,,,,0.169,,,,,0.0,0.089,0.092,0.08733333333333333,0.1,0.169
597,26-00,,,,0.088,,,,,,0.092,,,,0.098,0.071,,,0.093,,0.1,,,,,,0.169,,,,,0.0,0.088,0.092,0.08733333333333333,0.1,0.169
598,26-01,,,,0.089,,,,,,0.092,,,,0.098,0.073,,,0.093,,0.1,,,,,,0.169,,,,,0.0,0.089,0.092,0.08800000000000001,0.1,0.169
599,26-02,,,,0.088,,,,,,0.092,,,,0.098,0.072,,,0.093,,0.1,,,,,,0.168,,,,,0.0,0.088,0.092,0.08766666666666667,0.1,0.168
600,26-03,,,,0.088,,,,,,0.092,,,,0.098,0.072,,,0.093,,0.1,,,,,,0.168,,,,,0.0,0.088,0.092,0.08766666666666667,0.1,0.168
601,26-04,,,,0.088,,,,,,0.092,,,,0.098,0.072,,,0.093,,0.1,,,,,,0.169,,,,,0.2,0.088,0.092,0.08766666666666667,0.1,0.169
602,26-05,,,,0.088,,,,,,0.092,,,,0.098,0.072,,,0.093,,0.1,,,,,,0.168,,,,,0.0,0.088,0.092,0.08766666666666667,0.1,0.168
603,26-06,,,,0.088,,,,,,0.092,,,,0.098,0.072,,,0.093,,0.1,,,,,,0.168,,,,,0.0,0.088,0.092,0.08766666666666667,0.1,0.168
604,26-07,,,,0.088,,,,,,0.092,,,,0.098,0.072,,,0.093,,0.1,,,,,,0.168,,,,,0.0,0.088,0.092,0.08766666666666667,0.1,0.168
605,26-08,,,,0.088,,,,,,0.092,,,,0.098,0.072,,,0.093,,0.1,,,,,,0.168,,,,,0.0,0.088,0.092,0.08766666666666667,0.1,0.168
606,26-09,,,,0.088,,,,,,0.092,,,,0.098,0.072,,,0.093,,0.1,,,,,,0.168,,,,,0.0,0.088,0.092,0.08766666666666667,0.1,0.168
607,26-10,,,,0.088,,,,,,0.092,,,,0.098,0.071,,,0.093,,0.1,,,,,,0.169,,,,,0.0,0.088,0.092,0.08733333333333333,0.1,0.169
608,26-11,,,,0.088,,,,,,0.092,,,,0.098,0.072,,,0.093,,0.1,,,,,,0.168,,,,,0.0,0.088,0.092,0.08766666666666667,0.1,0.168
609,26-12,,,,0.088,,,,,,0.092,,,,0.098,0.07,,,0.093,,0.1,,,,,,0.168,,,,,0.0,0.088,0.092,0.08700000000000001,0.1,0.168
610,26-13,,,,0.088,,,,,,0.092,,,,0.098,0.071,,,0.093,,0.1,,,,,,0.168,,,,,0.0,0.088,0.092,0.08733333333333333,0.1,0.168
611,26-14,,,,0.088,,,,,,0.092,,,,0.098,0.071,,,0.093,,0.1,,,,,,0.168,,,,,0.0,0.088,0.092,0.08733333333333333,0.1,0.168
612,26-15,,,,0.088,,,,,,0.092,,,,0.098,0.07,,,0.093,,0.1,,,,,,0.168,,,,,0.0,0.088,0.092,0.08700000000000001,0.1,0.168
613,26-16,,,,0.088,,,,,,0.091,,,,0.098,0.071,,,0.093,,0.1,,,,,,0.168,,,,,0.0,0.088,0.091,0.08733333333333333,0.1,0.168
614,26-17,,,,0.088,,,,,,0.092,,,,0.098,0.071,,,0.093,,0.1,,,,,,0.168,,,,,0.0,0.088,0.092,0.08733333333333333,0.1,0.168
