,DAY_HOUR,H_M1005,A_M1005,H_M2005,A_M2005,H_M3005,A_M3005,H_M1010,A_M1010,H_M2010,A_M2010,H_M3010,A_M3010,H_M1020,A_M1020,H_M2020,A_M2020,H_M3020,A_M3020,H_M1050,A_M1050,H_M2050,A_M2050,H_M3050,A_M3050,H_M1100,A_M1100,H_M2100,A_M2100,H_M3100,A_M3100,P_OFFICIAL,MEAN_M_5,MEAN_M_10,MEAN_M_20,MEAN_M_50,MEAN_M_100
0,01-00,,,,0.34,0.339,,,,,0.362,0.303,,,0.395,0.311,,,0.412,,0.383,,,,,,0.356,,,,,0.0,0.3395,0.3325,0.3726666666666666,0.383,0.356
1,01-01,,,,0.34,0.338,,,,,0.361,0.302,,,0.395,0.311,,,0.412,,0.383,,,,,,0.356,,,,,0.0,0.339,0.3315,0.3726666666666666,0.383,0.356
2,01-02,,,,0.34,0.337,,,,,0.362,0.302,,,0.395,0.311,,,0.411,,0.382,,,,,,0.356,,,,,0.0,0.3385,0.332,0.3723333333333333,0.382,0.356
3,01-03,,,,0.34,0.337,,,,,0.361,0.302,,,0.395,0.311,,,0.412,,0.383,,,,,,0.356,,,,,0.0,0.3385,0.3315,0.3726666666666666,0.383,0.356
4,01-04,,,,0.34,0.337,,,,,0.361,0.301,,,0.395,0.311,,,0.412,,0.383,,,,,,0.356,,,,,0.0,0.3385,0.331,0.3726666666666666,0.383,0.356
5,01-05,,,,0.34,0.337,,,,,0.361,0.301,,,0.395,0.311,,,0.412,,0.383,,,,,,0.356,,,,,0.0,0.3385,0.331,0.3726666666666666,0.383,0.356
6,01-06,,,,0.34,0.337,,,,,0.361,0.301,,,0.395,0.312,,,0.412,,0.383,,,,,,0.356,,,,,0.0,0.3385,0.331,0.373,0.383,0.356
7,01-07,,,,0.34,0.337,,,,,0.36,0.301,,,0.395,0.312,,,0.413,,0.383,,,,,,0.356,,,,,0.0,0.3385,0.3305,0.3733333333333334,0.383,0.356
8,01-08,,,,0.34,0.337,,,,,0.361,0.302,,,0.396,0.312,,,0.413,,0.383,,,,,,0.356,,,,,0.0,0.3385,0.3315,0.3736666666666666,0.383,0.356
9,01-09,,,,0.341,0.337,,,,,0.361,0.302,,,0.395,0.312,,,0.412,,0.383,,,,,,0.356,,,,,0.0,0.339,0.3315,0.373,0.383,0.356
10,01-10,,,,0.341,0.337,,,,,0.361,0.303,,,0.396,0.312,,,0.412,,0.382,,,,,,0.355,,,,,0.0,0.339,0.332,0.3733333333333333,0.382,0.355
11,01-11,,,,0.341,0.337,,,,,0.361,0.301,,,0.396,0.312,,,0.413,,0.383,,,,,,0.356,,,,,0.0,0.339,0.331,0.3736666666666666,0.383,0.356
12,01-12,,,,0.341,0.337,,,,,0.361,0.301,,,0.396,0.312,,,0.413,,0.382,,,,,,0.356,,,,,0.0,0.339,0.331,0.3736666666666666,0.382,0.356
13,01-13,,,,0.34,0.337,,,,,0.361,0.301,,,0.396,0.312,,,0.412,,0.383,,,,,,0.356,,,,,0.0,0.3385,0.331,0.3733333333333333,0.383,0.356
14,01-14,,,,0.34,0.336,,,,,0.361,0.3,,,0.396,0.311,,,0.413,,0.383,,,,,,0.356,,,,,0.0,0.338,0.3305,0.3733333333333334,0.383,0.356
15,01-15,,,,0.34,0.335,,,,,0.36,0.301,,,0.396,0.311,,,0.412,,0.383,,,,,,0.356,,,,,0.0,0.3375,0.3305,0.373,0.383,0.356
16,01-16,,,,0.339,0.334,,,,,0.36,0.3,,,0.396,0.311,,,0.413,,0.383,,,,,,0.356,,,,,0.0,0.3365,0.33,0.3733333333333334,0.383,0.356
17,01-17,,,,0.337,0.332,,,,,0.359,0.299,,,0.396,0.312,,,0.413,,0.382,,,,,,0.356,,,,,0.0,0.3345,0.329,0.3736666666666666,0.382,0.356
18,01-18,,,,0.336,0.331,,,,,0.358,0.297,,,0.396,0.312,,,0.413,,0.383,,,,,,0.356,,,,,0.0,0.3335,0.3275,0.3736666666666666,0.383,0.356
19,01-19,,,,0.336,0.331,,,,,0.358,0.297,,,0.396,0.312,,,0.413,,0.383,,,,,,0.355,,,,,0.0,0.3335,0.3275,0.3736666666666666,0.383,0.355
20,01-20,,,,0.336,0.33,,,,,0.358,0.298,,,0.396,0.312,,,0.412,,0.383,,,,,,0.356,,,,,0.0,0.333,0.328,0.3733333333333333,0.383,0.356
21,01-21,,,,0.335,0.33,,,,,0.358,0.297,,,0.396,0.312,,,0.412,,0.382,,,,,,0.356,,,,,0.0,0.3325,0.3275,0.3733333333333333,0.382,0.356
22,01-22,,,,0.334,0.33,,,,,0.358,0.297,,,0.396,0.311,,,0.412,,0.383,,,,,,0.355,,,,,0.0,0.332,0.3275,0.373,0.383,0.355
23,01-23,,,,0.335,0.329,,,,,0.358,0.297,,,0.396,0.311,,,0.412,,0.383,,,,,,0.355,,,,,0.0,0.332,0.3275,0.373,0.383,0.355
24,02-00,,,,0.335,0.329,,,,,0.358,0.297,,,0.396,0.311,,,0.412,,0.383,,,,,,0.355,,,,,0.0,0.332,0.3275,0.373,0.383,0.355
25,02-01,,,,0.334,0.329,,,,,0.358,0.296,,,0.396,0.311,,,0.412,,0.382,,,,,,0.355,,,,,0.0,0.3315,0.327,0.373,0.382,0.355
26,02-02,,,,0.335,0.329,,,,,0.357,0.296,,,0.396,0.311,,,0.412,,0.383,,,,,,0.355,,,,,0.0,0.332,0.3265,0.373,0.383,0.355
27,02-03,,,,0.334,0.328,,,,,0.357,0.296,,,0.396,0.312,,,0.412,,0.382,,,,,,0.355,,,,,0.0,0.331,0.3265,0.3733333333333333,0.382,0.355
28,02-04,,,,0.334,0.327,,,,,0.357,0.295,,,0.396,0.312,,,0.412,,0.383,,,,,,0.355,,,,,0.0,0.3305,0.326,0.3733333333333333,0.383,0.355
29,02-05,,,,0.335,0.328,,,,,0.356,0.295,,,0.396,0.312,,,0.412,,0.383,,,,,,0.355,,,,,0.0,0.3315,0.3255,0.3733333333333333,0.383,0.355
30,02-06,,,,0.334,0.328,,,,,0.357,0.295,,,0.396,0.312,,,0.412,,0.382,,,,,,0.355,,,,,0.0,0.331,0.326,0.3733333333333333,0.382,0.355
31,02-07,,,,0.334,0.327,,,,,0.356,0.295,,,0.396,0.312,,,0.412,,0.382,,,,,,0.355,,,,,0.0,0.3305,0.3255,0.3733333333333333,0.382,0.355
32,02-08,,,,0.334,0.326,,,,,0.356,0.295,,,0.396,0.312,,,0.412,,0.382,,,,,,0.356,,,,,0.0,0.33,0.3255,0.3733333333333333,0.382,0.356
33,02-09,,,,0.335,0.327,,,,,0.356,0.295,,,0.396,0.312,,,0.412,,0.383,,,,,,0.355,,,,,0.0,0.331,0.3255,0.3733333333333333,0.383,0.355
34,02-10,,,,0.335,0.326,,,,,0.356,0.295,,,0.396,0.311,,,0.412,,0.382,,,,,,0.355,,,,,0.0,0.3305,0.3255,0.373,0.382,0.355
35,02-11,,,,0.335,0.326,,,,,0.356,0.295,,,0.396,0.312,,,0.412,,0.383,,,,,,0.355,,,,,0.2,0.3305,0.3255,0.3733333333333333,0.383,0.355
36,02-12,,,,0.336,0.327,,,,,0.356,0.295,,,0.396,0.312,,,0.413,,0.383,,,,,,0.355,,,,,0.0,0.3315,0.3255,0.3736666666666666,0.383,0.355
37,02-13,,,,0.334,0.327,,,,,0.356,0.294,,,0.396,0.313,,,0.413,,0.383,,,,,,0.355,,,,,0.0,0.3305,0.325,0.3740000000000001,0.383,0.355
