,DAY_HOUR,H_M1005,A_M1005,H_M2005,A_M2005,H_M3005,A_M3005,H_M1010,A_M1010,H_M2010,A_M2010,H_M3010,A_M3010,H_M1020,A_M1020,H_M2020,A_M2020,H_M3020,A_M3020,H_M1050,A_M1050,H_M2050,A_M2050,H_M3050,A_M3050,H_M1100,A_M1100,H_M2100,A_M2100,H_M3100,A_M3100,P_OFFICIAL,MEAN_M_5,MEAN_M_10,MEAN_M_20,MEAN_M_50,MEAN_M_100
0,01-00,,,,,,,,,,,0.357,,,,0.34,,,,,,,,,,,,,,,,0.0,,0.357,0.34,,
1,01-01,,,,,,,,,,,0.357,,,,0.34,,,,,,,,,,,,,,,,0.0,,0.357,0.34,,
2,01-02,,,,,,,,,,,0.358,,,,0.34,,,,,,,,,,,,,,,,0.0,,0.358,0.34,,
3,01-03,,,,,,,,,,,0.357,,,,0.34,,,,,,,,,,,,,,,,0.0,,0.357,0.34,,
4,01-04,,,,,,,,,,,0.357,,,,0.34,,,,,,,,,,,,,,,,0.0,,0.357,0.34,,
5,01-05,,,,,,,,,,,0.357,,,,0.341,,,,,,,,,,,,,,,,0.0,,0.357,0.341,,
6,01-06,,,,,,,,,,,0.357,,,,0.34,,,,,,,,,,,,,,,,0.0,,0.357,0.34,,
7,01-07,,,,,,,,,,,0.357,,,,0.34,,,,,,,,,,,,,,,,0.0,,0.357,0.34,,
8,01-08,,,,,,,,,,,0.357,,,,0.34,,,,,,,,,,,,,,,,0.0,,0.357,0.34,,
9,01-09,,,,,,,,,,,0.357,,,,0.34,,,,,,,,,,,,,,,,0.0,,0.357,0.34,,
10,01-10,,,,,,,,,,,0.357,,,,0.34,,,,,,,,,,,,,,,,0.0,,0.357,0.34,,
11,01-11,,,,,,,,,,,0.358,,,,0.341,,,,,,,,,,,,,,,,0.0,,0.358,0.341,,
12,01-12,,,,,,,,,,,0.358,,,,0.34,,,,,,,,,,,,,,,,0.0,,0.358,0.34,,
13,01-13,,,,,,,,,,,0.358,,,,0.34,,,,,,,,,,,,,,,,0.0,,0.358,0.34,,
14,01-14,,,,,,,,,,,0.358,,,,0.34,,,,,,,,,,,,,,,,0.0,,0.358,0.34,,
15,01-15,,,,,,,,,,,0.358,,,,0.34,,,,,,,,,,,,,,,,0.6,,0.358,0.34,,
16,01-16,,,,,,,,,,,0.358,,,,0.34,,,,,,,,,,,,,,,,0.0,,0.358,0.34,,
17,01-17,,,,,,,,,,,0.358,,,,0.34,,,,,,,,,,,,,,,,0.0,,0.358,0.34,,
18,01-18,,,,,,,,,,,0.357,,,,0.34,,,,,,,,,,,,,,,,0.0,,0.357,0.34,,
19,01-19,,,,,,,,,,,0.357,,,,0.34,,,,,,,,,,,,,,,,0.0,,0.357,0.34,,
20,01-20,,,,,,,,,,,0.357,,,,0.34,,,,,,,,,,,,,,,,0.0,,0.357,0.34,,
21,01-21,,,,,,,,,,,0.356,,,,0.34,,,,,,,,,,,,,,,,0.0,,0.356,0.34,,
22,01-22,,,,,,,,,,,0.355,,,,0.34,,,,,,,,,,,,,,,,0.0,,0.355,0.34,,
23,01-23,,,,,,,,,,,0.355,,,,0.34,,,,,,,,,,,,,,,,0.0,,0.355,0.34,,
24,02-00,,,,,,,,,,,0.355,,,,0.34,,,,,,,,,,,,,,,,0.0,,0.355,0.34,,
25,02-01,,,,,,,,,,,0.355,,,,0.339,,,,,,,,,,,,,,,,0.0,,0.355,0.339,,
26,02-02,,,,,,,,,,,0.357,,,,0.339,,,,,,,,,,,,,,,,0.0,,0.357,0.339,,
27,02-03,,,,,,,,,,,0.357,,,,0.338,,,,,,,,,,,,,,,,0.0,,0.357,0.338,,
28,02-04,,,,,,,,,,,0.357,,,,0.338,,,,,,,,,,,,,,,,0.0,,0.357,0.338,,
29,02-05,,,,,,,,,,,0.357,,,,0.338,,,,,,,,,,,,,,,,0.0,,0.357,0.338,,
30,02-06,,,,,,,,,,,0.357,,,,0.339,,,,,,,,,,,,,,,,0.0,,0.357,0.339,,
31,02-07,,,,,,,,,,,0.356,,,,0.339,,,,,,,,,,,,,,,,0.0,,0.356,0.339,,
32,02-08,,,,,,,,,,,0.357,,,,0.338,,,,,,,,,,,,,,,,0.0,,0.357,0.338,,
33,02-09,,,,,,,,,,,0.356,,,,0.338,,,,,,,,,,,,,,,,0.0,,0.356,0.338,,
34,02-10,,,,,,,,,,,0.356,,,,0.338,,,,,,,,,,,,,,,,0.0,,0.356,0.338,,
35,02-11,,,,,,,,,,,0.356,,,,0.338,,,,,,,,,,,,,,,,0.0,,0.356,0.338,,
36,02-12,,,,,,,,,,,0.356,,,,0.338,,,,,,,,,,,,,,,,0.0,,0.356,0.338,,
37,02-13,,,,,,,,,,,0.356,,,,0.339,,,,,,,,,,,,,,,,0.0,,0.356,0.339,,
38,02-14,,,,,,,,,,,0.356,,,,0.338,,,,,,,,,,,,,,,,0.0,,0.356,0.338,,
39,02-15,,,,,,,,,,,0.356,,,,0.338,,,,,,,,,,,,,,,,0.0,,0.356,0.338,,
