,DAY_HOUR,H_M1005,A_M1005,H_M2005,A_M2005,H_M3005,A_M3005,H_M1010,A_M1010,H_M2010,A_M2010,H_M3010,A_M3010,H_M1020,A_M1020,H_M2020,A_M2020,H_M3020,A_M3020,H_M1050,A_M1050,H_M2050,A_M2050,H_M3050,A_M3050,H_M1100,A_M1100,H_M2100,A_M2100,H_M3100,A_M3100,P_OFFICIAL,MEAN_M_5,MEAN_M_10,MEAN_M_20,MEAN_M_50,MEAN_M_100
0,01-00,,,,0.015,,,,,,0.019,,,,0.015,0.021,,,0.016,,0.021,,,,,,0.13,,,,,0.0,0.015,0.019,0.01733333333333334,0.021,0.13
1,01-01,,,,0.015,,,,,,0.019,,,,0.015,0.023,,,0.016,,0.021,,,,,,0.13,,,,,0.0,0.015,0.019,0.018,0.021,0.13
2,01-02,,,,0.015,,,,,,0.019,,,,0.015,0.025,,,0.016,,0.021,,,,,,0.13,,,,,0.0,0.015,0.019,0.01866666666666667,0.021,0.13
3,01-03,,,,0.015,,,,,,0.019,,,,0.015,0.021,,,0.016,,0.021,,,,,,0.13,,,,,0.0,0.015,0.019,0.01733333333333334,0.021,0.13
4,01-04,,,,0.015,,,,,,0.019,,,,0.015,0.023,,,0.016,,0.021,,,,,,0.13,,,,,0.0,0.015,0.019,0.018,0.021,0.13
5,01-05,,,,0.014,,,,,,0.019,,,,0.015,0.023,,,0.016,,0.021,,,,,,0.13,,,,,0.0,0.014,0.019,0.018,0.021,0.13
6,01-06,,,,0.014,,,,,,0.019,,,,0.015,0.023,,,0.016,,0.021,,,,,,0.13,,,,,0.0,0.014,0.019,0.018,0.021,0.13
7,01-07,,,,0.014,,,,,,0.019,,,,0.015,0.023,,,0.016,,0.021,,,,,,0.13,,,,,0.0,0.014,0.019,0.018,0.021,0.13
8,01-08,,,,0.014,,,,,,0.019,,,,0.015,0.023,,,0.016,,0.021,,,,,,0.13,,,,,0.0,0.014,0.019,0.018,0.021,0.13
9,01-09,,,,0.014,,,,,,0.019,,,,0.015,0.023,,,0.016,,0.021,,,,,,0.13,,,,,0.0,0.014,0.019,0.018,0.021,0.13
10,01-10,,,,0.014,,,,,,0.019,,,,0.015,0.023,,,0.016,,0.021,,,,,,0.13,,,,,0.0,0.014,0.019,0.018,0.021,0.13
11,01-11,,,,0.014,,,,,,0.019,,,,0.015,0.022,,,0.016,,0.021,,,,,,0.13,,,,,0.0,0.014,0.019,0.01766666666666667,0.021,0.13
12,01-12,,,,0.014,,,,,,0.019,,,,0.015,0.023,,,0.016,,0.021,,,,,,0.13,,,,,0.0,0.014,0.019,0.018,0.021,0.13
