,DAY_HOUR,H_M1005,A_M1005,H_M2005,A_M2005,H_M3005,A_M3005,H_M1010,A_M1010,H_M2010,A_M2010,H_M3010,A_M3010,H_M1020,A_M1020,H_M2020,A_M2020,H_M3020,A_M3020,H_M1050,A_M1050,H_M2050,A_M2050,H_M3050,A_M3050,H_M1100,A_M1100,H_M2100,A_M2100,H_M3100,A_M3100,P_OFFICIAL,MEAN_M_5,MEAN_M_10,MEAN_M_20,MEAN_M_50,MEAN_M_100
0,01-00,,,,0.044,,,,,,0.017,0.015,,,0.06,0.086,,,0.016,,0.066,,,,,,0.199,,,,,0.0,0.044,0.016,0.05399999999999999,0.066,0.199
1,01-01,,,,0.044,,,,,,0.017,0.015,,,0.06,0.086,,,0.016,,0.066,,,,,,0.2,,,,,0.0,0.044,0.016,0.05399999999999999,0.066,0.2
2,01-02,,,,0.044,,,,,,0.017,0.015,,,0.059,0.084,,,0.016,,0.066,,,,,,0.199,,,,,0.0,0.044,0.016,0.05300000000000001,0.066,0.199
3,01-03,,,,0.044,,,,,,0.017,0.015,,,0.059,0.083,,,0.016,,0.066,,,,,,0.199,,,,,0.0,0.044,0.016,0.05266666666666667,0.066,0.199
4,01-04,,,,0.044,,,,,,0.017,0.014,,,0.059,0.083,,,0.016,,0.066,,,,,,0.199,,,,,0.0,0.044,0.0155,0.05266666666666667,0.066,0.199
5,01-05,,,,0.044,,,,,,0.017,0.015,,,0.059,0.084,,,0.016,,0.066,,,,,,0.199,,,,,0.0,0.044,0.016,0.05300000000000001,0.066,0.199
6,01-06,,,,0.044,,,,,,0.017,0.014,,,0.059,0.082,,,0.016,,0.066,,,,,,0.199,,,,,0.0,0.044,0.0155,0.05233333333333334,0.066,0.199
7,01-07,,,,0.044,,,,,,0.017,0.011,,,0.06,0.083,,,0.016,,0.066,,,,,,0.199,,,,,0.0,0.044,0.014,0.05300000000000001,0.066,0.199
8,01-08,,,,0.044,,,,,,0.017,0.01,,,0.059,0.081,,,0.016,,0.066,,,,,,0.199,,,,,0.0,0.044,0.0135,0.05200000000000001,0.066,0.199
9,01-09,,,,0.044,,,,,,0.017,,,,0.06,0.081,,,0.016,,0.066,,,,,,0.199,,,,,0.0,0.044,0.017,0.05233333333333334,0.066,0.199
10,01-10,,,,0.77,,,,,,0.157,,,,1.078,0.081,,,0.148,,1.7,,,,,,3.576,,,,,0.2,0.77,0.157,0.4356666666666666,1.7,3.576
11,01-11,,,,0.044,,,,,,0.017,,,,0.06,0.081,,,0.016,,0.066,,,,,,0.199,,,,,0.0,0.044,0.017,0.05233333333333334,0.066,0.199
12,01-12,,,,0.044,,,,,,0.017,,,,0.06,0.08,,,0.016,,0.066,,,,,,0.199,,,,,0.0,0.044,0.017,0.05200000000000001,0.066,0.199
13,01-13,,,,0.044,,,,,,0.017,,,,0.06,0.08,,,0.016,,0.066,,,,,,0.199,,,,,0.0,0.044,0.017,0.05200000000000001,0.066,0.199
14,01-14,,,,0.044,,,,,,0.017,,,,0.06,0.078,,,0.016,,0.066,,,,,,0.198,,,,,0.0,0.044,0.017,0.05133333333333334,0.066,0.198
15,01-15,,,,0.044,,,,,,0.017,,,,0.059,0.079,,,0.016,,0.067,,,,,,0.197,,,,,0.0,0.044,0.017,0.05133333333333334,0.067,0.197
16,01-16,,,,0.044,,,,,,0.017,,,,0.059,0.078,,,0.016,,0.066,,,,,,0.197,,,,,0.0,0.044,0.017,0.05100000000000001,0.066,0.197
17,01-17,,,,0.043,,,,,,0.017,,,,0.059,0.076,,,0.016,,0.066,,,,,,0.196,,,,,0.0,0.043,0.017,0.05033333333333334,0.066,0.196
18,01-18,,,,0.043,,,,,,0.017,,,,0.058,0.076,,,0.016,,0.065,,,,,,0.195,,,,,0.0,0.043,0.017,0.05000000000000001,0.065,0.195
19,01-19,,,,0.043,,,,,,0.017,,,,0.518,0.074,,,0.016,,0.065,,,,,,0.194,,,,,0.0,0.043,0.017,0.2026666666666667,0.065,0.194
20,01-20,,,,0.042,,,,,,0.017,,,,0.056,0.075,,,0.016,,0.064,,,,,,0.194,,,,,0.0,0.042,0.017,0.04900000000000001,0.064,0.194
21,01-21,,,,0.041,,,,,,0.017,,,,0.055,0.072,,,0.016,,0.064,,,,,,0.193,,,,,0.0,0.041,0.017,0.04766666666666667,0.064,0.193
22,01-22,,,,0.041,,,,,,0.017,,,,0.054,0.07,,,0.016,,0.063,,,,,,0.193,,,,,0.0,0.041,0.017,0.04666666666666667,0.063,0.193
23,01-23,,,,0.041,,,,,,0.017,,,,0.499,0.07,,,0.016,,0.583,,,,,,0.192,,,,,0.0,0.041,0.017,0.195,0.583,0.192
24,02-00,,,,0.041,,,,,,0.017,,,,0.053,0.07,,,0.016,,0.063,,,,,,0.192,,,,,0.0,0.041,0.017,0.04633333333333334,0.063,0.192
25,02-01,,,,0.041,,,,,,0.017,,,,0.053,0.071,,,0.016,,0.063,,,,,,0.191,,,,,0.2,0.041,0.017,0.04666666666666667,0.063,0.191
