,DAY_HOUR,H_M1005,A_M1005,H_M2005,A_M2005,H_M3005,A_M3005,H_M1010,A_M1010,H_M2010,A_M2010,H_M3010,A_M3010,H_M1020,A_M1020,H_M2020,A_M2020,H_M3020,A_M3020,H_M1050,A_M1050,H_M2050,A_M2050,H_M3050,A_M3050,H_M1100,A_M1100,H_M2100,A_M2100,H_M3100,A_M3100,P_OFFICIAL,MEAN_M_5,MEAN_M_10,MEAN_M_20,MEAN_M_50,MEAN_M_100
0,01-00,,,,,,,,,,,0.369,,,,0.332,,,,,,,,,,,,,,,,0.3,,0.369,0.332,,
1,01-01,,,,,,,,,,,0.369,,,,0.332,,,,,,,,,,,,,,,,0.0,,0.369,0.332,,
2,01-02,,,,,,,,,,,0.369,,,,0.333,,,,,,,,,,,,,,,,0.0,,0.369,0.333,,
3,01-03,,,,,,,,,,,0.369,,,,0.333,,,,,,,,,,,,,,,,0.0,,0.369,0.333,,
4,01-04,,,,,,,,,,,0.371,,,,0.333,,,,,,,,,,,,,,,,0.0,,0.371,0.333,,
5,01-05,,,,,,,,,,,0.371,,,,0.333,,,,,,,,,,,,,,,,0.0,,0.371,0.333,,
6,01-06,,,,,,,,,,,0.371,,,,0.333,,,,,,,,,,,,,,,,0.0,,0.371,0.333,,
7,01-07,,,,,,,,,,,0.371,,,,0.333,,,,,,,,,,,,,,,,0.0,,0.371,0.333,,
8,01-08,,,,,,,,,,,0.372,,,,0.334,,,,,,,,,,,,,,,,0.0,,0.372,0.334,,
9,01-09,,,,,,,,,,,0.371,,,,0.334,,,,,,,,,,,,,,,,0.0,,0.371,0.334,,
10,01-10,,,,,,,,,,,0.371,,,,0.334,,,,,,,,,,,,,,,,0.0,,0.371,0.334,,
11,01-11,,,,,,,,,,,0.371,,,,0.334,,,,,,,,,,,,,,,,0.0,,0.371,0.334,,
12,01-12,,,,,,,,,,,0.371,,,,0.334,,,,,,,,,,,,,,,,0.0,,0.371,0.334,,
13,01-13,,,,,,,,,,,0.372,,,,0.334,,,,,,,,,,,,,,,,0.0,,0.372,0.334,,
14,01-14,,,,,,,,,,,0.372,,,,0.334,,,,,,,,,,,,,,,,0.0,,0.372,0.334,,
15,01-15,,,,,,,,,,,0.373,,,,0.334,,,,,,,,,,,,,,,,0.3,,0.373,0.334,,
16,01-16,,,,,,,,,,,0.373,,,,0.335,,,,,,,,,,,,,,,,0.2,,0.373,0.335,,
17,01-17,,,,,,,,,,,0.373,,,,0.334,,,,,,,,,,,,,,,,0.0,,0.373,0.334,,
18,01-18,,,,,,,,,,,0.373,,,,0.334,,,,,,,,,,,,,,,,0.0,,0.373,0.334,,
19,01-19,,,,,,,,,,,0.373,,,,0.334,,,,,,,,,,,,,,,,0.0,,0.373,0.334,,
20,01-20,,,,,,,,,,,0.372,,,,0.334,,,,,,,,,,,,,,,,0.0,,0.372,0.334,,
21,01-21,,,,,,,,,,,0.371,,,,0.334,,,,,,,,,,,,,,,,0.0,,0.371,0.334,,
22,01-22,,,,,,,,,,,0.371,,,,0.334,,,,,,,,,,,,,,,,0.0,,0.371,0.334,,
23,01-23,,,,,,,,,,,0.371,,,,0.334,,,,,,,,,,,,,,,,0.0,,0.371,0.334,,
24,02-00,,,,,,,,,,,0.371,,,,0.334,,,,,,,,,,,,,,,,0.0,,0.371,0.334,,
25,02-01,,,,,,,,,,,0.371,,,,0.334,,,,,,,,,,,,,,,,0.0,,0.371,0.334,,
26,02-02,,,,,,,,,,,0.371,,,,0.334,,,,,,,,,,,,,,,,0.0,,0.371,0.334,,
27,02-03,,,,,,,,,,,0.371,,,,0.334,,,,,,,,,,,,,,,,0.0,,0.371,0.334,,
28,02-04,,,,,,,,,,,0.371,,,,0.334,,,,,,,,,,,,,,,,0.0,,0.371,0.334,,
29,02-05,,,,,,,,,,,0.371,,,,0.334,,,,,,,,,,,,,,,,0.0,,0.371,0.334,,
30,02-06,,,,,,,,,,,0.371,,,,0.334,,,,,,,,,,,,,,,,0.0,,0.371,0.334,,
31,02-07,,,,,,,,,,,0.371,,,,0.334,,,,,,,,,,,,,,,,0.0,,0.371,0.334,,
32,02-08,,,,,,,,,,,0.371,,,,0.334,,,,,,,,,,,,,,,,0.0,,0.371,0.334,,
33,02-09,,,,,,,,,,,0.371,,,,0.334,,,,,,,,,,,,,,,,0.0,,0.371,0.334,,
34,02-10,,,,,,,,,,,0.371,,,,0.334,,,,,,,,,,,,,,,,0.0,,0.371,0.334,,
35,02-11,,,,,,,,,,,0.371,,,,0.334,,,,,,,,,,,,,,,,0.0,,0.371,0.334,,
36,02-12,,,,,,,,,,,0.371,,,,0.334,,,,,,,,,,,,,,,,0.0,,0.371,0.334,,
37,02-13,,,,,,,,,,,0.372,,,,0.334,,,,,,,,,,,,,,,,0.0,,0.372,0.334,,
38,02-14,,,,,,,,,,,0.373,,,,0.334,,,,,,,,,,,,,,,,0.0,,0.373,0.334,,
39,02-15,,,,,,,,,,,0.372,,,,0.334,,,,,,,,,,,,,,,,0.0,,0.372,0.334,,
40,02-16,,,,,,,,,,,0.372,,,,0.334,,,,,,,,,,,,,,,,0.0,,0.372,0.334,,
41,02-17,,,,,,,,,,,0.371,,,,0.333,,,,,,,,,,,,,,,,0.0,,0.371,0.333,,
42,02-18,,,,,,,,,,,0.371,,,,0.333,,,,,,,,,,,,,,,,0.0,,0.371,0.333,,
43,02-19,,,,,,,,,,,0.371,,,,0.333,,,,,,,,,,,,,,,,0.0,,0.371,0.333,,
44,02-20,,,,,,,,,,,0.371,,,,0.333,,,,,,,,,,,,,,,,0.0,,0.371,0.333,,
45,02-21,,,,,,,,,,,0.371,,,,0.333,,,,,,,,,,,,,,,,0.0,,0.371,0.333,,
46,02-22,,,,,,,,,,,0.371,,,,0.333,,,,,,,,,,,,,,,,0.0,,0.371,0.333,,
47,02-23,,,,,,,,,,,0.371,,,,0.333,,,,,,,,,,,,,,,,0.0,,0.371,0.333,,
48,03-00,,,,,,,,,,,0.371,,,,0.332,,,,,,,,,,,,,,,,0.0,,0.371,0.332,,
49,03-01,,,,,,,,,,,0.371,,,,0.332,,,,,,,,,,,,,,,,0.0,,0.371,0.332,,
50,03-02,,,,,,,,,,,0.371,,,,0.333,,,,,,,,,,,,,,,,0.0,,0.371,0.333,,
51,03-03,,,,,,,,,,,0.371,,,,0.332,,,,,,,,,,,,,,,,0.0,,0.371,0.332,,
52,03-04,,,,,,,,,,,0.371,,,,0.332,,,,,,,,,,,,,,,,0.0,,0.371,0.332,,
53,03-05,,,,,,,,,,,0.371,,,,0.332,,,,,,,,,,,,,,,,0.0,,0.371,0.332,,
54,03-06,,,,,,,,,,,0.371,,,,0.332,,,,,,,,,,,,,,,,0.0,,0.371,0.332,,
55,03-07,,,,,,,,,,,0.371,,,,0.332,,,,,,,,,,,,,,,,0.0,,0.371,0.332,,
56,03-08,,,,,,,,,,,0.371,,,,0.332,,,,,,,,,,,,,,,,0.0,,0.371,0.332,,
57,03-09,,,,,,,,,,,0.371,,,,0.332,,,,,,,,,,,,,,,,0.0,,0.371,0.332,,
58,03-10,,,,,,,,,,,0.371,,,,0.332,,,,,,,,,,,,,,,,0.0,,0.371,0.332,,
59,03-11,,,,,,,,,,,0.372,,,,0.332,,,,,,,,,,,,,,,,0.0,,0.372,0.332,,
60,03-12,,,,,,,,,,,0.372,,,,0.332,,,,,,,,,,,,,,,,0.0,,0.372,0.332,,
61,03-13,,,,,,,,,,,0.372,,,,0.332,,,,,,,,,,,,,,,,0.0,,0.372,0.332,,
62,03-14,,,,,,,,,,,0.372,,,,0.332,,,,,,,,,,,,,,,,0.4,,0.372,0.332,,
63,03-15,,,,,,,,,,,0.372,,,,0.332,,,,,,,,,,,,,,,,0.0,,0.372,0.332,,
64,03-16,,,,,,,,,,,0.373,,,,0.332,,,,,,,,,,,,,,,,0.0,,0.373,0.332,,
65,03-17,,,,,,,,,,,0.373,,,,0.333,,,,,,,,,,,,,,,,0.0,,0.373,0.333,,
66,03-18,,,,,,,,,,,0.373,,,,0.333,,,,,,,,,,,,,,,,0.0,,0.373,0.333,,
67,03-19,,,,,,,,,,,0.373,,,,0.333,,,,,,,,,,,,,,,,0.0,,0.373,0.333,,
68,03-20,,,,,,,,,,,0.373,,,,0.333,,,,,,,,,,,,,,,,0.0,,0.373,0.333,,
69,03-21,,,,,,,,,,,0.373,,,,0.333,,,,,,,,,,,,,,,,0.0,,0.373,0.333,,
70,03-22,,,,,,,,,,,0.374,,,,0.333,,,,,,,,,,,,,,,,0.0,,0.374,0.333,,
71,03-23,,,,,,,,,,,0.374,,,,0.333,,,,,,,,,,,,,,,,0.0,,0.374,0.333,,
72,04-00,,,,,,,,,,,0.373,,,,0.333,,,,,,,,,,,,,,,,0.0,,0.373,0.333,,
73,04-01,,,,,,,,,,,0.373,,,,0.333,,,,,,,,,,,,,,,,0.0,,0.373,0.333,,
74,04-02,,,,,,,,,,,0.374,,,,0.334,,,,,,,,,,,,,,,,0.0,,0.374,0.334,,
75,04-03,,,,,,,,,,,0.375,,,,0.334,,,,,,,,,,,,,,,,0.0,,0.375,0.334,,
76,04-04,,,,,,,,,,,0.375,,,,0.334,,,,,,,,,,,,,,,,0.0,,0.375,0.334,,
77,04-05,,,,,,,,,,,0.375,,,,0.334,,,,,,,,,,,,,,,,0.0,,0.375,0.334,,
78,04-06,,,,,,,,,,,0.375,,,,0.334,,,,,,,,,,,,,,,,0.0,,0.375,0.334,,
79,04-07,,,,,,,,,,,0.375,,,,0.335,,,,,,,,,,,,,,,,0.0,,0.375,0.335,,
80,04-08,,,,,,,,,,,0.376,,,,0.335,,,,,,,,,,,,,,,,0.0,,0.376,0.335,,
81,04-09,,,,,,,,,,,0.377,,,,0.334,,,,,,,,,,,,,,,,0.0,,0.377,0.334,,
82,04-10,,,,,,,,,,,0.377,,,,0.335,,,,,,,,,,,,,,,,0.0,,0.377,0.335,,
83,04-11,,,,,,,,,,,0.377,,,,0.336,,,,,,,,,,,,,,,,0.0,,0.377,0.336,,
