,DAY_HOUR,H_M1005,A_M1005,H_M2005,A_M2005,H_M3005,A_M3005,H_M1010,A_M1010,H_M2010,A_M2010,H_M3010,A_M3010,H_M1020,A_M1020,H_M2020,A_M2020,H_M3020,A_M3020,H_M1050,A_M1050,H_M2050,A_M2050,H_M3050,A_M3050,H_M1100,A_M1100,H_M2100,A_M2100,H_M3100,A_M3100,P_OFFICIAL,MEAN_M_5,MEAN_M_10,MEAN_M_20,MEAN_M_50,MEAN_M_100
0,01-00,,,,0.458,0.438,,,,,0.473,0.389,,,0.439,0.334,,,0.453,,0.397,,,,,,0.378,,,,,0.0,0.448,0.431,0.4086666666666667,0.397,0.378
1,01-01,,,,0.455,0.438,,,,,0.474,0.389,,,0.44,0.334,,,0.453,,0.397,,,,,,0.378,,,,,0.0,0.4465,0.4315,0.409,0.397,0.378
2,01-02,,,,0.449,0.438,,,,,0.473,0.389,,,0.44,0.334,,,0.453,,0.397,,,,,,0.378,,,,,0.0,0.4435,0.431,0.409,0.397,0.378
3,01-03,,,,0.449,0.439,,,,,0.474,0.389,,,0.44,0.334,,,0.453,,0.397,,,,,,0.378,,,,,0.0,0.444,0.4315,0.409,0.397,0.378
4,01-04,,,,0.443,0.44,,,,,0.475,0.39,,,0.44,0.334,,,0.453,,0.398,,,,,,0.378,,,,,0.0,0.4415,0.4325,0.409,0.398,0.378
5,01-05,,,,0.44,0.44,,,,,0.475,0.39,,,0.441,0.335,,,0.453,,0.397,,,,,,0.378,,,,,0.0,0.44,0.4325,0.4096666666666667,0.397,0.378
6,01-06,,,,0.44,0.44,,,,,0.476,0.39,,,0.441,0.335,,,0.455,,0.397,,,,,,0.378,,,,,0.0,0.44,0.433,0.4103333333333334,0.397,0.378
7,01-07,,,,0.44,0.44,,,,,0.475,0.39,,,0.44,0.335,,,0.453,,0.397,,,,,,0.378,,,,,0.0,0.44,0.4325,0.4093333333333333,0.397,0.378
8,01-08,,,,0.438,0.44,,,,,0.475,0.391,,,0.441,0.335,,,0.454,,0.397,,,,,,0.378,,,,,0.0,0.439,0.433,0.41,0.397,0.378
9,01-09,,,,0.437,0.44,,,,,0.475,0.392,,,0.44,0.335,,,0.454,,0.397,,,,,,0.378,,,,,0.0,0.4385,0.4335,0.4096666666666667,0.397,0.378
10,01-10,,,,0.437,0.44,,,,,0.475,0.392,,,0.44,0.335,,,0.455,,0.397,,,,,,0.378,,,,,0.0,0.4385,0.4335,0.41,0.397,0.378
11,01-11,,,,0.437,0.44,,,,,0.475,0.391,,,0.441,0.336,,,0.455,,0.397,,,,,,0.378,,,,,0.0,0.4385,0.433,0.4106666666666667,0.397,0.378
12,01-12,,,,0.436,0.439,,,,,0.475,0.391,,,0.441,0.336,,,0.455,,0.397,,,,,,0.378,,,,,0.0,0.4375,0.433,0.4106666666666667,0.397,0.378
13,01-13,,,,0.436,0.439,,,,,0.475,0.391,,,0.44,0.336,,,0.455,,0.397,,,,,,0.378,,,,,0.0,0.4375,0.433,0.4103333333333334,0.397,0.378
14,01-14,,,,0.436,0.439,,,,,0.476,0.391,,,0.441,0.336,,,0.456,,0.398,,,,,,0.378,,,,,0.0,0.4375,0.4335,0.411,0.398,0.378
15,01-15,,,,0.436,0.439,,,,,0.476,0.391,,,0.442,0.336,,,0.457,,0.397,,,,,,0.378,,,,,0.0,0.4375,0.4335,0.4116666666666667,0.397,0.378
16,01-16,,,,0.435,0.439,,,,,0.476,0.391,,,0.442,0.336,,,0.457,,0.397,,,,,,0.378,,,,,0.0,0.437,0.4335,0.4116666666666667,0.397,0.378
17,01-17,,,,0.435,0.439,,,,,0.475,0.392,,,0.441,0.335,,,0.455,,0.398,,,,,,0.378,,,,,0.0,0.437,0.4335,0.4103333333333334,0.398,0.378
18,01-18,,,,0.435,0.439,,,,,0.475,0.391,,,0.441,0.336,,,0.456,,0.397,,,,,,0.378,,,,,0.0,0.437,0.433,0.411,0.397,0.378
19,01-19,,,,0.433,0.439,,,,,0.475,0.392,,,0.442,0.336,,,0.455,,0.398,,,,,,0.378,,,,,0.0,0.436,0.4335,0.411,0.398,0.378
20,01-20,,,,0.433,0.439,,,,,0.476,0.391,,,0.441,0.336,,,0.456,,0.397,,,,,,0.378,,,,,0.0,0.436,0.4335,0.411,0.397,0.378
21,01-21,,,,0.433,0.439,,,,,0.474,0.391,,,0.442,0.336,,,0.456,,0.397,,,,,,0.377,,,,,0.0,0.436,0.4325,0.4113333333333333,0.397,0.377
22,01-22,,,,0.431,0.439,,,,,0.474,0.391,,,0.443,0.336,,,0.456,,0.398,,,,,,0.377,,,,,0.0,0.435,0.4325,0.4116666666666667,0.398,0.377
23,01-23,,,,0.43,0.439,,,,,0.474,0.391,,,0.443,0.336,,,0.457,,0.398,,,,,,0.377,,,,,0.0,0.4345,0.4325,0.412,0.398,0.377
24,02-00,,,,0.43,0.439,,,,,0.473,0.391,,,0.443,0.336,,,0.455,,0.398,,,,,,0.377,,,,,0.0,0.4345,0.432,0.4113333333333333,0.398,0.377
25,02-01,,,,0.43,0.439,,,,,0.474,0.391,,,0.443,0.336,,,0.455,,0.398,,,,,,0.377,,,,,0.0,0.4345,0.4325,0.4113333333333333,0.398,0.377
26,02-02,,,,0.43,0.439,,,,,0.474,0.392,,,0.442,0.336,,,0.456,,0.398,,,,,,0.377,,,,,0.0,0.4345,0.433,0.4113333333333333,0.398,0.377
27,02-03,,,,0.43,0.44,,,,,0.474,0.393,,,0.442,0.336,,,0.456,,0.398,,,,,,0.378,,,,,0.0,0.435,0.4335,0.4113333333333333,0.398,0.378
28,02-04,,,,0.431,0.44,,,,,0.474,0.393,,,0.443,0.336,,,0.455,,0.398,,,,,,0.378,,,,,0.0,0.4355,0.4335,0.4113333333333333,0.398,0.378
29,02-05,,,,0.432,0.44,,,,,0.474,0.393,,,0.443,0.336,,,0.454,,0.398,,,,,,0.378,,,,,0.0,0.436,0.4335,0.411,0.398,0.378
