,DAY_HOUR,H_M1005,A_M1005,H_M2005,A_M2005,H_M3005,A_M3005,H_M1010,A_M1010,H_M2010,A_M2010,H_M3010,A_M3010,H_M1020,A_M1020,H_M2020,A_M2020,H_M3020,A_M3020,H_M1050,A_M1050,H_M2050,A_M2050,H_M3050,A_M3050,H_M1100,A_M1100,H_M2100,A_M2100,H_M3100,A_M3100,P_OFFICIAL,MEAN_M_5,MEAN_M_10,MEAN_M_20,MEAN_M_50,MEAN_M_100
0,24-18,,,,,,,,,,,0.355,,,,0.343,,,,,,,,,,,,,,,,0.0,,0.355,0.343,,
1,24-19,,,,,,,,,,,0.354,,,,0.343,,,,,,,,,,,,,,,,0.0,,0.354,0.343,,
2,24-20,,,,,,,,,,,0.353,,,,0.343,,,,,,,,,,,,,,,,0.0,,0.353,0.343,,
3,24-21,,,,,,,,,,,0.352,,,,0.343,,,,,,,,,,,,,,,,0.0,,0.352,0.343,,
4,24-22,,,,,,,,,,,0.352,,,,0.342,,,,,,,,,,,,,,,,0.0,,0.352,0.342,,
5,24-23,,,,,,,,,,,0.352,,,,0.342,,,,,,,,,,,,,,,,0.0,,0.352,0.342,,
6,25-00,,,,,,,,,,,0.352,,,,0.343,,,,,,,,,,,,,,,,0.0,,0.352,0.343,,
7,25-01,,,,,,,,,,,0.351,,,,0.343,,,,,,,,,,,,,,,,0.0,,0.351,0.343,,
8,25-02,,,,,,,,,,,0.352,,,,0.343,,,,,,,,,,,,,,,,0.0,,0.352,0.343,,
9,25-03,,,,,,,,,,,0.352,,,,0.343,,,,,,,,,,,,,,,,0.0,,0.352,0.343,,
10,25-04,,,,,,,,,,,0.352,,,,0.343,,,,,,,,,,,,,,,,0.0,,0.352,0.343,,
11,25-05,,,,,,,,,,,0.352,,,,0.343,,,,,,,,,,,,,,,,0.0,,0.352,0.343,,
12,25-06,,,,,,,,,,,0.353,,,,0.343,,,,,,,,,,,,,,,,0.0,,0.353,0.343,,
13,25-07,,,,,,,,,,,0.353,,,,0.343,,,,,,,,,,,,,,,,0.0,,0.353,0.343,,
14,25-08,,,,,,,,,,,0.353,,,,0.343,,,,,,,,,,,,,,,,0.0,,0.353,0.343,,
15,25-09,,,,,,,,,,,0.354,,,,0.343,,,,,,,,,,,,,,,,0.0,,0.354,0.343,,
16,25-10,,,,,,,,,,,0.355,,,,0.343,,,,,,,,,,,,,,,,0.0,,0.355,0.343,,
17,25-11,,,,,,,,,,,0.354,,,,0.343,,,,,,,,,,,,,,,,0.0,,0.354,0.343,,
18,25-12,,,,,,,,,,,0.354,,,,0.343,,,,,,,,,,,,,,,,0.0,,0.354,0.343,,
19,25-13,,,,,,,,,,,0.354,,,,0.342,,,,,,,,,,,,,,,,0.0,,0.354,0.342,,
20,25-14,,,,,,,,,,,0.354,,,,0.342,,,,,,,,,,,,,,,,0.5,,0.354,0.342,,
21,25-15,,,,,,,,,,,0.354,,,,0.342,,,,,,,,,,,,,,,,0.0,,0.354,0.342,,
22,25-16,,,,,,,,,,,0.354,,,,0.343,,,,,,,,,,,,,,,,0.0,,0.354,0.343,,
23,25-17,,,,,,,,,,,0.354,,,,0.343,,,,,,,,,,,,,,,,0.0,,0.354,0.343,,
24,25-18,,,,,,,,,,,0.354,,,,0.343,,,,,,,,,,,,,,,,0.0,,0.354,0.343,,
25,25-19,,,,,,,,,,,0.353,,,,0.343,,,,,,,,,,,,,,,,0.0,,0.353,0.343,,
26,25-20,,,,,,,,,,,0.352,,,,0.343,,,,,,,,,,,,,,,,0.0,,0.352,0.343,,
27,25-21,,,,,,,,,,,0.352,,,,0.342,,,,,,,,,,,,,,,,0.0,,0.352,0.342,,
28,25-22,,,,,,,,,,,0.351,,,,0.342,,,,,,,,,,,,,,,,0.0,,0.351,0.342,,
29,25-23,,,,,,,,,,,0.35,,,,0.341,,,,,,,,,,,,,,,,0.0,,0.35,0.341,,
30,26-00,,,,,,,,,,,0.35,,,,0.342,,,,,,,,,,,,,,,,0.0,,0.35,0.342,,
31,26-01,,,,,,,,,,,0.35,,,,0.342,,,,,,,,,,,,,,,,0.0,,0.35,0.342,,
32,26-02,,,,,,,,,,,0.351,,,,0.342,,,,,,,,,,,,,,,,0.0,,0.351,0.342,,
33,26-03,,,,,,,,,,,0.352,,,,0.342,,,,,,,,,,,,,,,,0.0,,0.352,0.342,,
34,26-04,,,,,,,,,,,0.352,,,,0.342,,,,,,,,,,,,,,,,0.0,,0.352,0.342,,
35,26-05,,,,,,,,,,,0.352,,,,0.342,,,,,,,,,,,,,,,,0.0,,0.352,0.342,,
36,26-06,,,,,,,,,,,0.352,,,,0.342,,,,,,,,,,,,,,,,0.0,,0.352,0.342,,
37,26-07,,,,,,,,,,,0.351,,,,0.342,,,,,,,,,,,,,,,,0.0,,0.351,0.342,,
38,26-08,,,,,,,,,,,0.351,,,,0.342,,,,,,,,,,,,,,,,0.0,,0.351,0.342,,
39,26-09,,,,,,,,,,,0.352,,,,0.342,,,,,,,,,,,,,,,,0.0,,0.352,0.342,,
40,26-10,,,,,,,,,,,0.352,,,,0.342,,,,,,,,,,,,,,,,0.0,,0.352,0.342,,
41,26-11,,,,,,,,,,,0.352,,,,0.342,,,,,,,,,,,,,,,,0.0,,0.352,0.342,,
42,26-12,,,,,,,,,,,0.352,,,,0.342,,,,,,,,,,,,,,,,0.0,,0.352,0.342,,
43,26-13,,,,,,,,,,,0.352,,,,0.342,,,,,,,,,,,,,,,,0.0,,0.352,0.342,,
44,26-14,,,,,,,,,,,0.352,,,,0.342,,,,,,,,,,,,,,,,0.0,,0.352,0.342,,
45,26-15,,,,,,,,,,,0.352,,,,0.341,,,,,,,,,,,,,,,,0.0,,0.352,0.341,,
46,26-16,,,,,,,,,,,0.352,,,,0.342,,,,,,,,,,,,,,,,0.3,,0.352,0.342,,
47,26-17,,,,,,,,,,,0.352,,,,0.341,,,,,,,,,,,,,,,,0.0,,0.352,0.341,,
48,26-18,,,,,,,,,,,0.352,,,,0.341,,,,,,,,,,,,,,,,0.0,,0.352,0.341,,
49,26-19,,,,,,,,,,,0.352,,,,0.34,,,,,,,,,,,,,,,,0.0,,0.352,0.34,,
50,26-20,,,,,,,,,,,0.351,,,,0.34,,,,,,,,,,,,,,,,0.0,,0.351,0.34,,
51,26-21,,,,,,,,,,,0.35,,,,0.34,,,,,,,,,,,,,,,,0.0,,0.35,0.34,,
52,26-22,,,,,,,,,,,0.35,,,,0.34,,,,,,,,,,,,,,,,0.0,,0.35,0.34,,
53,26-23,,,,,,,,,,,0.35,,,,0.34,,,,,,,,,,,,,,,,0.0,,0.35,0.34,,
54,27-00,,,,,,,,,,,0.35,,,,0.341,,,,,,,,,,,,,,,,0.0,,0.35,0.341,,
55,27-01,,,,,,,,,,,0.35,,,,0.34,,,,,,,,,,,,,,,,0.0,,0.35,0.34,,
56,27-02,,,,,,,,,,,0.35,,,,0.34,,,,,,,,,,,,,,,,0.0,,0.35,0.34,,
57,27-03,,,,,,,,,,,0.35,,,,0.34,,,,,,,,,,,,,,,,0.0,,0.35,0.34,,
58,27-04,,,,,,,,,,,0.351,,,,0.34,,,,,,,,,,,,,,,,0.0,,0.351,0.34,,
59,27-05,,,,,,,,,,,0.352,,,,0.34,,,,,,,,,,,,,,,,0.0,,0.352,0.34,,
60,27-06,,,,,,,,,,,0.352,,,,0.341,,,,,,,,,,,,,,,,0.0,,0.352,0.341,,
61,27-07,,,,,,,,,,,0.352,,,,0.341,,,,,,,,,,,,,,,,0.0,,0.352,0.341,,
62,27-08,,,,,,,,,,,0.351,,,,0.341,,,,,,,,,,,,,,,,0.0,,0.351,0.341,,
63,27-09,,,,,,,,,,,0.352,,,,0.34,,,,,,,,,,,,,,,,0.0,,0.352,0.34,,
64,27-10,,,,,,,,,,,0.352,,,,0.34,,,,,,,,,,,,,,,,0.0,,0.352,0.34,,
65,27-11,,,,,,,,,,,0.352,,,,0.34,,,,,,,,,,,,,,,,0.0,,0.352,0.34,,
66,27-12,,,,,,,,,,,0.352,,,,0.34,,,,,,,,,,,,,,,,0.0,,0.352,0.34,,
67,27-13,,,,,,,,,,,0.352,,,,0.34,,,,,,,,,,,,,,,,0.0,,0.352,0.34,,
68,27-14,,,,,,,,,,,0.352,,,,0.34,,,,,,,,,,,,,,,,0.0,,0.352,0.34,,
69,27-15,,,,,,,,,,,0.352,,,,0.34,,,,,,,,,,,,,,,,0.0,,0.352,0.34,,
70,27-16,,,,,,,,,,,0.352,,,,0.34,,,,,,,,,,,,,,,,0.4,,0.352,0.34,,
71,27-17,,,,,,,,,,,0.352,,,,0.34,,,,,,,,,,,,,,,,0.0,,0.352,0.34,,
72,27-18,,,,,,,,,,,0.352,,,,0.34,,,,,,,,,,,,,,,,0.0,,0.352,0.34,,
73,27-19,,,,,,,,,,,0.351,,,,0.34,,,,,,,,,,,,,,,,0.0,,0.351,0.34,,
74,27-20,,,,,,,,,,,0.35,,,,0.34,,,,,,,,,,,,,,,,0.0,,0.35,0.34,,
75,27-21,,,,,,,,,,,0.35,,,,0.341,,,,,,,,,,,,,,,,0.0,,0.35,0.341,,
76,27-22,,,,,,,,,,,0.349,,,,0.339,,,,,,,,,,,,,,,,0.0,,0.349,0.339,,
77,27-23,,,,,,,,,,,0.348,,,,0.34,,,,,,,,,,,,,,,,0.0,,0.348,0.34,,
78,28-00,,,,,,,,,,,0.348,,,,0.34,,,,,,,,,,,,,,,,0.0,,0.348,0.34,,
79,28-01,,,,,,,,,,,0.349,,,,0.34,,,,,,,,,,,,,,,,0.0,,0.349,0.34,,
80,28-02,,,,,,,,,,,0.35,,,,0.34,,,,,,,,,,,,,,,,0.0,,0.35,0.34,,
81,28-03,,,,,,,,,,,0.349,,,,0.34,,,,,,,,,,,,,,,,0.0,,0.349,0.34,,
82,28-04,,,,,,,,,,,0.349,,,,0.34,,,,,,,,,,,,,,,,0.0,,0.349,0.34,,
83,28-05,,,,,,,,,,,0.35,,,,0.339,,,,,,,,,,,,,,,,0.0,,0.35,0.339,,
84,28-06,,,,,,,,,,,0.35,,,,0.339,,,,,,,,,,,,,,,,0.0,,0.35,0.339,,
85,28-07,,,,,,,,,,,0.35,,,,0.339,,,,,,,,,,,,,,,,0.0,,0.35,0.339,,
86,28-08,,,,,,,,,,,0.352,,,,0.34,,,,,,,,,,,,,,,,0.0,,0.352,0.34,,
87,28-09,,,,,,,,,,,0.352,,,,0.34,,,,,,,,,,,,,,,,0.0,,0.352,0.34,,
88,28-10,,,,,,,,,,,0.352,,,,0.341,,,,,,,,,,,,,,,,0.0,,0.352,0.341,,
89,28-11,,,,,,,,,,,0.352,,,,0.34,,,,,,,,,,,,,,,,0.0,,0.352,0.34,,
90,28-12,,,,,,,,,,,0.352,,,,0.34,,,,,,,,,,,,,,,,0.0,,0.352,0.34,,
91,28-13,,,,,,,,,,,0.352,,,,0.34,,,,,,,,,,,,,,,,0.0,,0.352,0.34,,
92,28-14,,,,,,,,,,,0.352,,,,0.34,,,,,,,,,,,,,,,,0.4,,0.352,0.34,,
93,28-15,,,,,,,,,,,0.352,,,,0.34,,,,,,,,,,,,,,,,0.3,,0.352,0.34,,
94,28-16,,,,,,,,,,,0.352,,,,0.34,,,,,,,,,,,,,,,,0.0,,0.352,0.34,,
95,28-17,,,,,,,,,,,0.352,,,,0.34,,,,,,,,,,,,,,,,0.0,,0.352,0.34,,
96,28-18,,,,,,,,,,,0.352,,,,0.34,,,,,,,,,,,,,,,,0.0,,0.352,0.34,,
97,28-19,,,,,,,,,,,0.351,,,,0.34,,,,,,,,,,,,,,,,0.0,,0.351,0.34,,
98,28-20,,,,,,,,,,,0.35,,,,0.34,,,,,,,,,,,,,,,,0.0,,0.35,0.34,,
99,28-21,,,,,,,,,,,0.35,,,,0.34,,,,,,,,,,,,,,,,0.0,,0.35,0.34,,
100,28-22,,,,,,,,,,,0.348,,,,0.339,,,,,,,,,,,,,,,,0.0,,0.348,0.339,,
101,28-23,,,,,,,,,,,0.348,,,,0.339,,,,,,,,,,,,,,,,0.0,,0.348,0.339,,
102,29-00,,,,,,,,,,,0.349,,,,0.338,,,,,,,,,,,,,,,,0.0,,0.349,0.338,,
103,29-01,,,,,,,,,,,0.349,,,,0.338,,,,,,,,,,,,,,,,0.0,,0.349,0.338,,
104,29-02,,,,,,,,,,,0.349,,,,0.338,,,,,,,,,,,,,,,,0.0,,0.349,0.338,,
105,29-03,,,,,,,,,,,0.349,,,,0.338,,,,,,,,,,,,,,,,0.0,,0.349,0.338,,
106,29-04,,,,,,,,,,,0.349,,,,0.339,,,,,,,,,,,,,,,,0.4,,0.349,0.339,,
107,29-05,,,,,,,,,,,0.35,,,,0.34,,,,,,,,,,,,,,,,0.4,,0.35,0.34,,
108,29-06,,,,,,,,,,,0.35,,,,0.34,,,,,,,,,,,,,,,,0.0,,0.35,0.34,,
109,29-07,,,,,,,,,,,0.352,,,,0.34,,,,,,,,,,,,,,,,0.0,,0.352,0.34,,
110,29-08,,,,,,,,,,,0.352,,,,0.34,,,,,,,,,,,,,,,,0.0,,0.352,0.34,,
111,29-09,,,,,,,,,,,0.352,,,,0.34,,,,,,,,,,,,,,,,0.0,,0.352,0.34,,
112,29-10,,,,,,,,,,,0.352,,,,0.34,,,,,,,,,,,,,,,,0.0,,0.352,0.34,,
113,29-11,,,,,,,,,,,0.353,,,,0.34,,,,,,,,,,,,,,,,0.0,,0.353,0.34,,
114,29-12,,,,,,,,,,,0.354,,,,0.34,,,,,,,,,,,,,,,,0.0,,0.354,0.34,,
115,29-13,,,,,,,,,,,0.354,,,,0.34,,,,,,,,,,,,,,,,0.0,,0.354,0.34,,
116,29-14,,,,,,,,,,,0.354,,,,0.341,,,,,,,,,,,,,,,,0.0,,0.354,0.341,,
117,29-15,,,,,,,,,,,0.355,,,,0.342,,,,,,,,,,,,,,,,0.0,,0.355,0.342,,
118,29-16,,,,,,,,,,,0.355,,,,0.342,,,,,,,,,,,,,,,,0.0,,0.355,0.342,,
119,29-17,,,,,,,,,,,0.355,,,,0.342,,,,,,,,,,,,,,,,0.0,,0.355,0.342,,
120,29-18,,,,,,,,,,,0.354,,,,0.342,,,,,,,,,,,,,,,,0.0,,0.354,0.342,,
121,29-19,,,,,,,,,,,0.354,,,,0.342,,,,,,,,,,,,,,,,0.0,,0.354,0.342,,
122,29-20,,,,,,,,,,,0.354,,,,0.342,,,,,,,,,,,,,,,,0.0,,0.354,0.342,,
123,29-21,,,,,,,,,,,0.352,,,,0.342,,,,,,,,,,,,,,,,0.0,,0.352,0.342,,
124,29-22,,,,,,,,,,,0.352,,,,0.342,,,,,,,,,,,,,,,,0.0,,0.352,0.342,,
125,29-23,,,,,,,,,,,0.352,,,,0.342,,,,,,,,,,,,,,,,0.0,,0.352,0.342,,
126,30-00,,,,,,,,,,,0.352,,,,0.342,,,,,,,,,,,,,,,,0.0,,0.352,0.342,,
127,30-01,,,,,,,,,,,0.352,,,,0.342,,,,,,,,,,,,,,,,0.0,,0.352,0.342,,
128,30-02,,,,,,,,,,,0.353,,,,0.342,,,,,,,,,,,,,,,,0.0,,0.353,0.342,,
129,30-03,,,,,,,,,,,0.354,,,,0.342,,,,,,,,,,,,,,,,0.0,,0.354,0.342,,
130,30-04,,,,,,,,,,,0.353,,,,0.342,,,,,,,,,,,,,,,,0.0,,0.353,0.342,,
131,30-05,,,,,,,,,,,0.354,,,,0.342,,,,,,,,,,,,,,,,0.0,,0.354,0.342,,
132,30-06,,,,,,,,,,,0.354,,,,0.342,,,,,,,,,,,,,,,,0.0,,0.354,0.342,,
133,30-07,,,,,,,,,,,0.354,,,,0.342,,,,,,,,,,,,,,,,0.0,,0.354,0.342,,
134,30-08,,,,,,,,,,,0.354,,,,0.343,,,,,,,,,,,,,,,,0.0,,0.354,0.343,,
135,30-09,,,,,,,,,,,0.354,,,,0.343,,,,,,,,,,,,,,,,0.2,,0.354,0.343,,
136,30-10,,,,,,,,,,,0.355,,,,0.343,,,,,,,,,,,,,,,,0.0,,0.355,0.343,,
137,30-11,,,,,,,,,,,0.355,,,,0.343,,,,,,,,,,,,,,,,0.0,,0.355,0.343,,
138,30-12,,,,,,,,,,,0.355,,,,0.343,,,,,,,,,,,,,,,,0.0,,0.355,0.343,,
139,30-13,,,,,,,,,,,0.356,,,,0.343,,,,,,,,,,,,,,,,0.0,,0.356,0.343,,
140,30-14,,,,,,,,,,,0.357,,,,0.343,,,,,,,,,,,,,,,,0.0,,0.357,0.343,,
141,30-15,,,,,,,,,,,0.356,,,,0.342,,,,,,,,,,,,,,,,0.0,,0.356,0.342,,
142,30-16,,,,,,,,,,,0.356,,,,0.342,,,,,,,,,,,,,,,,0.0,,0.356,0.342,,
143,30-17,,,,,,,,,,,0.356,,,,0.343,,,,,,,,,,,,,,,,0.0,,0.356,0.343,,
144,30-18,,,,,,,,,,,0.356,,,,0.343,,,,,,,,,,,,,,,,0.0,,0.356,0.343,,
145,30-19,,,,,,,,,,,0.355,,,,0.342,,,,,,,,,,,,,,,,0.0,,0.355,0.342,,
