,DAY_HOUR,H_M1005,A_M1005,H_M2005,A_M2005,H_M3005,A_M3005,H_M1010,A_M1010,H_M2010,A_M2010,H_M3010,A_M3010,H_M1020,A_M1020,H_M2020,A_M2020,H_M3020,A_M3020,H_M1050,A_M1050,H_M2050,A_M2050,H_M3050,A_M3050,H_M1100,A_M1100,H_M2100,A_M2100,H_M3100,A_M3100,P_OFFICIAL,MEAN_M_5,MEAN_M_10,MEAN_M_20,MEAN_M_50,MEAN_M_100
146,30-20,,,,,,,,,,,0.356,,,,0.343,,,,,,,,,,,,,,,,0.0,,0.356,0.343,,
147,30-21,,,,,,,,,,,0.356,,,,0.343,,,,,,,,,,,,,,,,0.0,,0.356,0.343,,
148,30-22,,,,,,,,,,,0.356,,,,0.342,,,,,,,,,,,,,,,,0.0,,0.356,0.342,,
149,30-23,,,,,,,,,,,0.356,,,,0.342,,,,,,,,,,,,,,,,0.0,,0.356,0.342,,
150,31-00,,,,,,,,,,,0.356,,,,0.342,,,,,,,,,,,,,,,,0.0,,0.356,0.342,,
151,31-01,,,,,,,,,,,0.356,,,,0.342,,,,,,,,,,,,,,,,0.0,,0.356,0.342,,
152,31-02,,,,,,,,,,,0.356,,,,0.342,,,,,,,,,,,,,,,,0.0,,0.356,0.342,,
153,31-03,,,,,,,,,,,0.356,,,,0.342,,,,,,,,,,,,,,,,0.0,,0.356,0.342,,
154,31-04,,,,,,,,,,,0.356,,,,0.342,,,,,,,,,,,,,,,,0.0,,0.356,0.342,,
155,31-05,,,,,,,,,,,0.356,,,,0.342,,,,,,,,,,,,,,,,0.0,,0.356,0.342,,
156,31-06,,,,,,,,,,,0.356,,,,0.342,,,,,,,,,,,,,,,,0.0,,0.356,0.342,,
157,31-07,,,,,,,,,,,0.356,,,,0.342,,,,,,,,,,,,,,,,0.0,,0.356,0.342,,
158,31-08,,,,,,,,,,,0.356,,,,0.342,,,,,,,,,,,,,,,,0.0,,0.356,0.342,,
159,31-09,,,,,,,,,,,0.356,,,,0.342,,,,,,,,,,,,,,,,0.0,,0.356,0.342,,
160,31-10,,,,,,,,,,,0.356,,,,0.341,,,,,,,,,,,,,,,,0.0,,0.356,0.341,,
161,31-11,,,,,,,,,,,0.356,,,,0.342,,,,,,,,,,,,,,,,0.0,,0.356,0.342,,
162,31-12,,,,,,,,,,,0.356,,,,0.341,,,,,,,,,,,,,,,,0.0,,0.356,0.341,,
163,31-13,,,,,,,,,,,0.356,,,,0.342,,,,,,,,,,,,,,,,0.0,,0.356,0.342,,
164,31-14,,,,,,,,,,,0.356,,,,0.341,,,,,,,,,,,,,,,,0.0,,0.356,0.341,,
165,31-15,,,,,,,,,,,0.356,,,,0.341,,,,,,,,,,,,,,,,0.0,,0.356,0.341,,
166,31-16,,,,,,,,,,,0.356,,,,0.342,,,,,,,,,,,,,,,,0.0,,0.356,0.342,,
167,31-17,,,,,,,,,,,0.356,,,,0.342,,,,,,,,,,,,,,,,0.4,,0.356,0.342,,
168,31-18,,,,,,,,,,,0.356,,,,0.342,,,,,,,,,,,,,,,,9.8,,0.356,0.342,,
169,31-19,,,,,,,,,,,0.356,,,,0.341,,,,,,,,,,,,,,,,3.1,,0.356,0.341,,
170,31-20,,,,,,,,,,,0.357,,,,0.341,,,,,,,,,,,,,,,,7.0,,0.357,0.341,,
171,31-21,,,,,,,,,,,0.358,,,,0.342,,,,,,,,,,,,,,,,1.2,,0.358,0.342,,
172,31-22,,,,,,,,,,,0.357,,,,0.34,,,,,,,,,,,,,,,,0.0,,0.357,0.34,,
173,31-23,,,,,,,,,,,0.357,,,,0.34,,,,,,,,,,,,,,,,0.0,,0.357,0.34,,
