DAY_HOUR,H_M1005,A_M1005,H_M2005,A_M2005,H_M3005,A_M3005,H_M1010,A_M1010,H_M2010,A_M2010,H_M3010,A_M3010,H_M1020,A_M1020,H_M2020,A_M2020,H_M3020,A_M3020,H_M1050,A_M1050,H_M2050,A_M2050,H_M3050,A_M3050,H_M1100,A_M1100,H_M2100,A_M2100,H_M3100,A_M3100,P_OFFICIAL,MEAN_M_5,MEAN_M_10,MEAN_M_20,MEAN_M_50,MEAN_M_100
01-00,,,,0.231,0.204,,,,,0.233,0.222,,,0.371,0.296,,,0.379,,0.393,,,,,,0.337,,,,,0,0.2175,0.2275,0.348666667,0.393,0.337
01-01,,,,0.231,0.204,,,,,0.233,0.22,,,0.371,0.295,,,0.379,,0.394,,,,,,0.337,,,,,0,0.2175,0.2265,0.348333333,0.394,0.337
01-02,,,,0.231,0.204,,,,,0.232,0.221,,,0.371,0.295,,,0.379,,0.393,,,,,,0.337,,,,,0,0.2175,0.2265,0.348333333,0.393,0.337
01-03,,,,0.231,0.204,,,,,0.234,0.22,,,0.372,0.295,,,0.378,,0.393,,,,,,0.337,,,,,0,0.2175,0.227,0.348333333,0.393,0.337
01-04,,,,0.231,0.204,,,,,0.233,0.219,,,0.371,0.295,,,0.378,,0.393,,,,,,0.337,,,,,0,0.2175,0.226,0.348,0.393,0.337
01-05,,,,0.231,0.204,,,,,0.233,0.22,,,0.371,0.295,,,0.379,,0.393,,,,,,0.338,,,,,0,0.2175,0.2265,0.348333333,0.393,0.338
01-06,,,,0.231,0.204,,,,,0.233,0.219,,,0.371,0.296,,,0.379,,0.393,,,,,,0.337,,,,,0,0.2175,0.226,0.348666667,0.393,0.337
01-07,,,,0.231,0.204,,,,,0.233,0.219,,,0.371,0.295,,,0.378,,0.393,,,,,,0.338,,,,,0,0.2175,0.226,0.348,0.393,0.338
01-08,,,,0.231,0.205,,,,,0.233,0.22,,,0.371,0.296,,,0.378,,0.393,,,,,,0.337,,,,,0,0.218,0.2265,0.348333333,0.393,0.337
01-09,,,,0.231,0.205,,,,,0.233,0.219,,,0.371,0.296,,,0.378,,0.393,,,,,,0.337,,,,,0,0.218,0.226,0.348333333,0.393,0.337
