DAY_HOUR,H_M1005,A_M1005,H_M2005,A_M2005,H_M3005,A_M3005,H_M1010,A_M1010,H_M2010,A_M2010,H_M3010,A_M3010,H_M1020,A_M1020,H_M2020,A_M2020,H_M3020,A_M3020,H_M1050,A_M1050,H_M2050,A_M2050,H_M3050,A_M3050,H_M1100,A_M1100,H_M2100,A_M2100,H_M3100,A_M3100,P_OFFICIAL,MEAN_M_5,MEAN_M_10,MEAN_M_20,MEAN_M_50,MEAN_M_100
01-00,,,,0.458,0.438,,,,,0.473,0.389,,,0.439,0.334,,,0.453,,0.397,,,,,,0.378,,,,,0,0.448,0.431,0.408666667,0.397,0.378
01-01,,,,0.455,0.438,,,,,0.474,0.389,,,0.44,0.334,,,0.453,,0.397,,,,,,0.378,,,,,0,0.4465,0.4315,0.409,0.397,0.378
01-02,,,,0.449,0.438,,,,,0.473,0.389,,,0.44,0.334,,,0.453,,0.397,,,,,,0.378,,,,,0,0.4435,0.431,0.409,0.397,0.378
01-03,,,,0.449,0.439,,,,,0.474,0.389,,,0.44,0.334,,,0.453,,0.397,,,,,,0.378,,,,,0,0.444,0.4315,0.409,0.397,0.378
01-04,,,,0.443,0.44,,,,,0.475,0.39,,,0.44,0.334,,,0.453,,0.398,,,,,,0.378,,,,,0,0.4415,0.4325,0.409,0.398,0.378
01-05,,,,0.44,0.44,,,,,0.475,0.39,,,0.441,0.335,,,0.453,,0.397,,,,,,0.378,,,,,0,0.44,0.4325,0.409666667,0.397,0.378
01-06,,,,0.44,0.44,,,,,0.476,0.39,,,0.441,0.335,,,0.455,,0.397,,,,,,0.378,,,,,0,0.44,0.433,0.410333333,0.397,0.378
01-07,,,,0.44,0.44,,,,,0.475,0.39,,,0.44,0.335,,,0.453,,0.397,,,,,,0.378,,,,,0,0.44,0.4325,0.409333333,0.397,0.378
01-08,,,,0.438,0.44,,,,,0.475,0.391,,,0.441,0.335,,,0.454,,0.397,,,,,,0.378,,,,,0,0.439,0.433,0.41,0.397,0.378
01-09,,,,0.437,0.44,,,,,0.475,0.392,,,0.44,0.335,,,0.454,,0.397,,,,,,0.378,,,,,0,0.4385,0.4335,0.409666667,0.397,0.378
01-10,,,,0.437,0.44,,,,,0.475,0.392,,,0.44,0.335,,,0.455,,0.397,,,,,,0.378,,,,,0,0.4385,0.4335,0.41,0.397,0.378
01-11,,,,0.437,0.44,,,,,0.475,0.391,,,0.441,0.336,,,0.455,,0.397,,,,,,0.378,,,,,0,0.4385,0.433,0.410666667,0.397,0.378
01-12,,,,0.436,0.439,,,,,0.475,0.391,,,0.441,0.336,,,0.455,,0.397,,,,,,0.378,,,,,0,0.4375,0.433,0.410666667,0.397,0.378
01-13,,,,0.436,0.439,,,,,0.475,0.391,,,0.44,0.336,,,0.455,,0.397,,,,,,0.378,,,,,0,0.4375,0.433,0.410333333,0.397,0.378
01-14,,,,0.436,0.439,,,,,0.476,0.391,,,0.441,0.336,,,0.456,,0.398,,,,,,0.378,,,,,0,0.4375,0.4335,0.411,0.398,0.378
01-15,,,,0.436,0.439,,,,,0.476,0.391,,,0.442,0.336,,,0.457,,0.397,,,,,,0.378,,,,,0,0.4375,0.4335,0.411666667,0.397,0.378
01-16,,,,0.435,0.439,,,,,0.476,0.391,,,0.442,0.336,,,0.457,,0.397,,,,,,0.378,,,,,0,0.437,0.4335,0.411666667,0.397,0.378
01-17,,,,0.435,0.439,,,,,0.475,0.392,,,0.441,0.335,,,0.455,,0.398,,,,,,0.378,,,,,0,0.437,0.4335,0.410333333,0.398,0.378
01-18,,,,0.435,0.439,,,,,0.475,0.391,,,0.441,0.336,,,0.456,,0.397,,,,,,0.378,,,,,0,0.437,0.433,0.411,0.397,0.378
01-19,,,,0.433,0.439,,,,,0.475,0.392,,,0.442,0.336,,,0.455,,0.398,,,,,,0.378,,,,,0,0.436,0.4335,0.411,0.398,0.378
01-20,,,,0.433,0.439,,,,,0.476,0.391,,,0.441,0.336,,,0.456,,0.397,,,,,,0.378,,,,,0,0.436,0.4335,0.411,0.397,0.378
01-21,,,,0.433,0.439,,,,,0.474,0.391,,,0.442,0.336,,,0.456,,0.397,,,,,,0.377,,,,,0,0.436,0.4325,0.411333333,0.397,0.377
01-22,,,,0.431,0.439,,,,,0.474,0.391,,,0.443,0.336,,,0.456,,0.398,,,,,,0.377,,,,,0,0.435,0.4325,0.411666667,0.398,0.377
01-23,,,,0.43,0.439,,,,,0.474,0.391,,,0.443,0.336,,,0.457,,0.398,,,,,,0.377,,,,,0,0.4345,0.4325,0.412,0.398,0.377
02-00,,,,0.43,0.439,,,,,0.473,0.391,,,0.443,0.336,,,0.455,,0.398,,,,,,0.377,,,,,0,0.4345,0.432,0.411333333,0.398,0.377
02-01,,,,0.43,0.439,,,,,0.474,0.391,,,0.443,0.336,,,0.455,,0.398,,,,,,0.377,,,,,0,0.4345,0.4325,0.411333333,0.398,0.377
02-02,,,,0.43,0.439,,,,,0.474,0.392,,,0.442,0.336,,,0.456,,0.398,,,,,,0.377,,,,,0,0.4345,0.433,0.411333333,0.398,0.377
02-03,,,,0.43,0.44,,,,,0.474,0.393,,,0.442,0.336,,,0.456,,0.398,,,,,,0.378,,,,,0,0.435,0.4335,0.411333333,0.398,0.378
02-04,,,,0.431,0.44,,,,,0.474,0.393,,,0.443,0.336,,,0.455,,0.398,,,,,,0.378,,,,,0,0.4355,0.4335,0.411333333,0.398,0.378
02-05,,,,0.432,0.44,,,,,0.474,0.393,,,0.443,0.336,,,0.454,,0.398,,,,,,0.378,,,,,0,0.436,0.4335,0.411,0.398,0.378
02-06,,,,0.432,0.44,,,,,0.475,0.394,,,0.442,0.337,,,0.455,,0.398,,,,,,0.377,,,,,0,0.436,0.4345,0.411333333,0.398,0.377
02-07,,,,0.433,0.441,,,,,0.476,0.393,,,0.442,0.337,,,0.456,,0.398,,,,,,0.377,,,,,0,0.437,0.4345,0.411666667,0.398,0.377
02-08,,,,0.433,0.441,,,,,0.476,0.393,,,0.443,0.337,,,0.456,,0.398,,,,,,0.378,,,,,0,0.437,0.4345,0.412,0.398,0.378
02-09,,,,0.433,0.441,,,,,0.476,0.393,,,0.441,0.337,,,0.457,,0.397,,,,,,0.377,,,,,0,0.437,0.4345,0.411666667,0.397,0.377
02-10,,,,0.433,0.441,,,,,0.476,0.393,,,0.442,0.337,,,0.457,,0.398,,,,,,0.377,,,,,0,0.437,0.4345,0.412,0.398,0.377
02-11,,,,0.433,0.441,,,,,0.476,0.393,,,0.443,0.337,,,0.457,,0.398,,,,,,0.377,,,,,0,0.437,0.4345,0.412333333,0.398,0.377
02-12,,,,0.434,0.441,,,,,0.477,0.395,,,0.442,0.338,,,0.456,,0.398,,,,,,0.378,,,,,0,0.4375,0.436,0.412,0.398,0.378
02-13,,,,0.434,0.441,,,,,0.476,0.395,,,0.443,0.338,,,0.457,,0.398,,,,,,0.377,,,,,0,0.4375,0.4355,0.412666667,0.398,0.377
02-14,,,,0.433,0.441,,,,,0.477,0.395,,,0.443,0.338,,,0.457,,0.398,,,,,,0.377,,,,,0,0.437,0.436,0.412666667,0.398,0.377
02-15,,,,0.433,0.441,,,,,0.477,0.395,,,0.444,0.338,,,0.457,,0.398,,,,,,0.378,,,,,0,0.437,0.436,0.413,0.398,0.378
02-16,,,,0.431,0.441,,,,,0.477,0.395,,,0.444,0.338,,,0.457,,0.398,,,,,,0.378,,,,,0,0.436,0.436,0.413,0.398,0.378
02-17,,,,0.429,0.44,,,,,0.476,0.394,,,0.443,0.338,,,0.457,,0.398,,,,,,0.377,,,,,0,0.4345,0.435,0.412666667,0.398,0.377
02-18,,,,0.427,0.439,,,,,0.476,0.393,,,0.443,0.338,,,0.457,,0.398,,,,,,0.377,,,,,0,0.433,0.4345,0.412666667,0.398,0.377
02-19,,,,0.426,0.439,,,,,0.475,0.394,,,0.443,0.337,,,0.458,,0.399,,,,,,0.377,,,,,0,0.4325,0.4345,0.412666667,0.399,0.377
02-20,,,,0.425,0.438,,,,,0.473,0.393,,,0.443,0.337,,,0.458,,0.398,,,,,,0.377,,,,,0,0.4315,0.433,0.412666667,0.398,0.377
02-21,,,,0.423,0.438,,,,,0.473,0.393,,,0.442,0.336,,,0.456,,0.399,,,,,,0.377,,,,,0,0.4305,0.433,0.411333333,0.399,0.377
02-22,,,,0.422,0.437,,,,,0.473,0.392,,,0.441,0.336,,,0.456,,0.398,,,,,,0.377,,,,,0,0.4295,0.4325,0.411,0.398,0.377
02-23,,,,0.423,0.438,,,,,0.471,0.392,,,0.441,0.336,,,0.455,,0.398,,,,,,0.377,,,,,0,0.4305,0.4315,0.410666667,0.398,0.377
03-00,,,,0.423,0.437,,,,,0.47,0.392,,,0.442,0.335,,,0.455,,0.399,,,,,,0.377,,,,,0,0.43,0.431,0.410666667,0.399,0.377
03-01,,,,0.423,0.438,,,,,0.469,0.392,,,0.441,0.335,,,0.455,,0.399,,,,,,0.377,,,,,0,0.4305,0.4305,0.410333333,0.399,0.377
03-02,,,,0.424,0.438,,,,,0.469,0.392,,,0.441,0.335,,,0.455,,0.398,,,,,,0.377,,,,,0,0.431,0.4305,0.410333333,0.398,0.377
03-03,,,,0.424,0.438,,,,,0.469,0.392,,,0.441,0.335,,,0.455,,0.398,,,,,,0.377,,,,,0,0.431,0.4305,0.410333333,0.398,0.377
03-04,,,,0.425,0.439,,,,,0.469,0.393,,,0.441,0.335,,,0.455,,0.398,,,,,,0.377,,,,,0,0.432,0.431,0.410333333,0.398,0.377
03-05,,,,0.425,0.439,,,,,0.469,0.393,,,0.441,0.335,,,0.455,,0.398,,,,,,0.377,,,,,0,0.432,0.431,0.410333333,0.398,0.377
03-06,,,,0.427,0.439,,,,,0.47,0.393,,,0.441,0.335,,,0.456,,0.399,,,,,,0.377,,,,,0,0.433,0.4315,0.410666667,0.399,0.377
03-07,,,,0.425,0.438,,,,,0.47,0.393,,,0.44,0.335,,,0.454,,0.398,,,,,,0.377,,,,,0,0.4315,0.4315,0.409666667,0.398,0.377
03-08,,,,0.427,0.438,,,,,0.469,0.393,,,0.44,0.335,,,0.454,,0.398,,,,,,0.377,,,,,0,0.4325,0.431,0.409666667,0.398,0.377
03-09,,,,0.425,0.438,,,,,0.469,0.392,,,0.44,0.335,,,0.455,,0.398,,,,,,0.377,,,,,0,0.4315,0.4305,0.41,0.398,0.377
03-10,,,,0.426,0.439,,,,,0.47,0.392,,,0.441,0.335,,,0.455,,0.398,,,,,,0.377,,,,,0,0.4325,0.431,0.410333333,0.398,0.377
03-11,,,,0.425,0.439,,,,,0.469,0.392,,,0.44,0.335,,,0.455,,0.398,,,,,,0.377,,,,,0,0.432,0.4305,0.41,0.398,0.377
03-12,,,,0.426,0.438,,,,,0.47,0.392,,,0.441,0.335,,,0.455,,0.398,,,,,,0.377,,,,,0,0.432,0.431,0.410333333,0.398,0.377
03-13,,,,0.425,0.439,,,,,0.47,0.393,,,0.44,0.335,,,0.454,,0.398,,,,,,0.377,,,,,0,0.432,0.4315,0.409666667,0.398,0.377
03-14,,,,0.425,0.439,,,,,0.47,0.393,,,0.44,0.335,,,0.456,,0.398,,,,,,0.377,,,,,0,0.432,0.4315,0.410333333,0.398,0.377
03-15,,,,0.425,0.439,,,,,0.469,0.394,,,0.44,0.335,,,0.455,,0.398,,,,,,0.377,,,,,0,0.432,0.4315,0.41,0.398,0.377
03-16,,,,0.426,0.439,,,,,0.47,0.393,,,0.441,0.335,,,0.455,,0.398,,,,,,0.377,,,,,0,0.4325,0.4315,0.410333333,0.398,0.377
03-17,,,,0.424,0.439,,,,,0.468,0.392,,,0.44,0.335,,,0.456,,0.398,,,,,,0.377,,,,,0,0.4315,0.43,0.410333333,0.398,0.377
03-18,,,,0.423,0.439,,,,,0.469,0.392,,,0.44,0.335,,,0.454,,0.398,,,,,,0.377,,,,,0,0.431,0.4305,0.409666667,0.398,0.377
03-19,,,,0.423,0.439,,,,,0.469,0.392,,,0.44,0.335,,,0.455,,0.398,,,,,,0.377,,,,,0,0.431,0.4305,0.41,0.398,0.377
03-20,,,,0.423,0.438,,,,,0.468,0.392,,,0.439,0.334,,,0.455,,0.398,,,,,,0.377,,,,,0,0.4305,0.43,0.409333333,0.398,0.377
03-21,,,,0.422,0.438,,,,,0.468,0.392,,,0.439,0.334,,,0.454,,0.398,,,,,,0.377,,,,,0,0.43,0.43,0.409,0.398,0.377
03-22,,,,0.422,0.438,,,,,0.469,0.392,,,0.44,0.334,,,0.453,,0.398,,,,,,0.376,,,,,0,0.43,0.4305,0.409,0.398,0.376
03-23,,,,0.423,0.438,,,,,0.469,0.392,,,0.44,0.334,,,0.453,,0.398,,,,,,0.377,,,,,1.2,0.4305,0.4305,0.409,0.398,0.377
04-00,,,,0.424,0.438,,,,,0.469,0.392,,,0.44,0.334,,,0.453,,0.398,,,,,,0.377,,,,,0,0.431,0.4305,0.409,0.398,0.377
04-01,,,,0.423,0.438,,,,,0.468,0.392,,,0.438,0.334,,,0.453,,0.397,,,,,,0.377,,,,,0,0.4305,0.43,0.408333333,0.397,0.377
04-02,,,,0.423,0.438,,,,,0.468,0.392,,,0.439,0.334,,,0.453,,0.397,,,,,,0.376,,,,,0,0.4305,0.43,0.408666667,0.397,0.376
04-03,,,,0.423,0.438,,,,,0.469,0.392,,,0.439,0.334,,,0.453,,0.397,,,,,,0.376,,,,,0,0.4305,0.4305,0.408666667,0.397,0.376
04-04,,,,0.423,0.438,,,,,0.467,0.392,,,0.439,0.334,,,0.453,,0.398,,,,,,0.377,,,,,0,0.4305,0.4295,0.408666667,0.398,0.377
04-05,,,,0.423,0.438,,,,,0.469,0.392,,,0.438,0.334,,,0.453,,0.398,,,,,,0.376,,,,,0,0.4305,0.4305,0.408333333,0.398,0.376
04-06,,,,0.424,0.438,,,,,0.469,0.392,,,0.439,0.334,,,0.452,,0.397,,,,,,0.376,,,,,0,0.431,0.4305,0.408333333,0.397,0.376
04-07,,,,0.423,0.438,,,,,0.467,0.392,,,0.438,0.334,,,0.453,,0.397,,,,,,0.376,,,,,0,0.4305,0.4295,0.408333333,0.397,0.376
04-08,,,,0.423,0.438,,,,,0.468,0.392,,,0.438,0.334,,,0.452,,0.398,,,,,,0.376,,,,,0,0.4305,0.43,0.408,0.398,0.376
04-09,,,,0.423,0.438,,,,,0.468,0.393,,,0.438,0.334,,,0.452,,0.398,,,,,,0.376,,,,,0,0.4305,0.4305,0.408,0.398,0.376
04-10,,,,0.424,0.438,,,,,0.469,0.393,,,0.439,0.334,,,0.452,,0.397,,,,,,0.376,,,,,0,0.431,0.431,0.408333333,0.397,0.376
04-11,,,,0.422,0.437,,,,,0.469,0.393,,,0.438,0.334,,,0.451,,0.397,,,,,,0.376,,,,,0,0.4295,0.431,0.407666667,0.397,0.376
04-12,,,,0.423,0.437,,,,,0.467,0.393,,,0.438,0.334,,,0.451,,0.397,,,,,,0.376,,,,,0,0.43,0.43,0.407666667,0.397,0.376
04-13,,,,0.421,0.437,,,,,0.467,0.393,,,0.437,0.334,,,0.451,,0.397,,,,,,0.376,,,,,0,0.429,0.43,0.407333333,0.397,0.376
04-14,,,,0.422,0.438,,,,,0.467,0.393,,,0.437,0.333,,,0.453,,0.397,,,,,,0.376,,,,,0,0.43,0.43,0.407666667,0.397,0.376
04-15,,,,0.422,0.438,,,,,0.467,0.394,,,0.437,0.333,,,0.452,,0.397,,,,,,0.376,,,,,0.6,0.43,0.4305,0.407333333,0.397,0.376
04-16,,,,0.423,0.438,,,,,0.466,0.394,,,0.437,0.333,,,0.452,,0.397,,,,,,0.376,,,,,0.2,0.4305,0.43,0.407333333,0.397,0.376
