DAY_HOUR,H_M1005,A_M1005,H_M2005,A_M2005,H_M3005,A_M3005,H_M1010,A_M1010,H_M2010,A_M2010,H_M3010,A_M3010,H_M1020,A_M1020,H_M2020,A_M2020,H_M3020,A_M3020,H_M1050,A_M1050,H_M2050,A_M2050,H_M3050,A_M3050,H_M1100,A_M1100,H_M2100,A_M2100,H_M3100,A_M3100,P_OFFICIAL,MEAN_M_5,MEAN_M_10,MEAN_M_20,MEAN_M_50,MEAN_M_100
01-00,,,,0.34,0.339,,,,,0.362,0.303,,,0.395,0.311,,,0.412,,0.383,,,,,,0.356,,,,,0,0.3395,0.3325,0.372666667,0.383,0.356
01-01,,,,0.34,0.338,,,,,0.361,0.302,,,0.395,0.311,,,0.412,,0.383,,,,,,0.356,,,,,0,0.339,0.3315,0.372666667,0.383,0.356
01-02,,,,0.34,0.337,,,,,0.362,0.302,,,0.395,0.311,,,0.411,,0.382,,,,,,0.356,,,,,0,0.3385,0.332,0.372333333,0.382,0.356
01-03,,,,0.34,0.337,,,,,0.361,0.302,,,0.395,0.311,,,0.412,,0.383,,,,,,0.356,,,,,0,0.3385,0.3315,0.372666667,0.383,0.356
01-04,,,,0.34,0.337,,,,,0.361,0.301,,,0.395,0.311,,,0.412,,0.383,,,,,,0.356,,,,,0,0.3385,0.331,0.372666667,0.383,0.356
01-05,,,,0.34,0.337,,,,,0.361,0.301,,,0.395,0.311,,,0.412,,0.383,,,,,,0.356,,,,,0,0.3385,0.331,0.372666667,0.383,0.356
01-06,,,,0.34,0.337,,,,,0.361,0.301,,,0.395,0.312,,,0.412,,0.383,,,,,,0.356,,,,,0,0.3385,0.331,0.373,0.383,0.356
01-07,,,,0.34,0.337,,,,,0.36,0.301,,,0.395,0.312,,,0.413,,0.383,,,,,,0.356,,,,,0,0.3385,0.3305,0.373333333,0.383,0.356
01-08,,,,0.34,0.337,,,,,0.361,0.302,,,0.396,0.312,,,0.413,,0.383,,,,,,0.356,,,,,0,0.3385,0.3315,0.373666667,0.383,0.356
01-09,,,,0.341,0.337,,,,,0.361,0.302,,,0.395,0.312,,,0.412,,0.383,,,,,,0.356,,,,,0,0.339,0.3315,0.373,0.383,0.356
01-10,,,,0.341,0.337,,,,,0.361,0.303,,,0.396,0.312,,,0.412,,0.382,,,,,,0.355,,,,,0,0.339,0.332,0.373333333,0.382,0.355
01-11,,,,0.341,0.337,,,,,0.361,0.301,,,0.396,0.312,,,0.413,,0.383,,,,,,0.356,,,,,0,0.339,0.331,0.373666667,0.383,0.356
01-12,,,,0.341,0.337,,,,,0.361,0.301,,,0.396,0.312,,,0.413,,0.382,,,,,,0.356,,,,,0,0.339,0.331,0.373666667,0.382,0.356
01-13,,,,0.34,0.337,,,,,0.361,0.301,,,0.396,0.312,,,0.412,,0.383,,,,,,0.356,,,,,0,0.3385,0.331,0.373333333,0.383,0.356
01-14,,,,0.34,0.336,,,,,0.361,0.3,,,0.396,0.311,,,0.413,,0.383,,,,,,0.356,,,,,0,0.338,0.3305,0.373333333,0.383,0.356
01-15,,,,0.34,0.335,,,,,0.36,0.301,,,0.396,0.311,,,0.412,,0.383,,,,,,0.356,,,,,0,0.3375,0.3305,0.373,0.383,0.356
01-16,,,,0.339,0.334,,,,,0.36,0.3,,,0.396,0.311,,,0.413,,0.383,,,,,,0.356,,,,,0,0.3365,0.33,0.373333333,0.383,0.356
01-17,,,,0.337,0.332,,,,,0.359,0.299,,,0.396,0.312,,,0.413,,0.382,,,,,,0.356,,,,,0,0.3345,0.329,0.373666667,0.382,0.356
01-18,,,,0.336,0.331,,,,,0.358,0.297,,,0.396,0.312,,,0.413,,0.383,,,,,,0.356,,,,,0,0.3335,0.3275,0.373666667,0.383,0.356
01-19,,,,0.336,0.331,,,,,0.358,0.297,,,0.396,0.312,,,0.413,,0.383,,,,,,0.355,,,,,0,0.3335,0.3275,0.373666667,0.383,0.355
01-20,,,,0.336,0.33,,,,,0.358,0.298,,,0.396,0.312,,,0.412,,0.383,,,,,,0.356,,,,,0,0.333,0.328,0.373333333,0.383,0.356
01-21,,,,0.335,0.33,,,,,0.358,0.297,,,0.396,0.312,,,0.412,,0.382,,,,,,0.356,,,,,0,0.3325,0.3275,0.373333333,0.382,0.356
01-22,,,,0.334,0.33,,,,,0.358,0.297,,,0.396,0.311,,,0.412,,0.383,,,,,,0.355,,,,,0,0.332,0.3275,0.373,0.383,0.355
01-23,,,,0.335,0.329,,,,,0.358,0.297,,,0.396,0.311,,,0.412,,0.383,,,,,,0.355,,,,,0,0.332,0.3275,0.373,0.383,0.355
02-00,,,,0.335,0.329,,,,,0.358,0.297,,,0.396,0.311,,,0.412,,0.383,,,,,,0.355,,,,,0,0.332,0.3275,0.373,0.383,0.355
02-01,,,,0.334,0.329,,,,,0.358,0.296,,,0.396,0.311,,,0.412,,0.382,,,,,,0.355,,,,,0,0.3315,0.327,0.373,0.382,0.355
02-02,,,,0.335,0.329,,,,,0.357,0.296,,,0.396,0.311,,,0.412,,0.383,,,,,,0.355,,,,,0,0.332,0.3265,0.373,0.383,0.355
02-03,,,,0.334,0.328,,,,,0.357,0.296,,,0.396,0.312,,,0.412,,0.382,,,,,,0.355,,,,,0,0.331,0.3265,0.373333333,0.382,0.355
02-04,,,,0.334,0.327,,,,,0.357,0.295,,,0.396,0.312,,,0.412,,0.383,,,,,,0.355,,,,,0,0.3305,0.326,0.373333333,0.383,0.355
02-05,,,,0.335,0.328,,,,,0.356,0.295,,,0.396,0.312,,,0.412,,0.383,,,,,,0.355,,,,,0,0.3315,0.3255,0.373333333,0.383,0.355
02-06,,,,0.334,0.328,,,,,0.357,0.295,,,0.396,0.312,,,0.412,,0.382,,,,,,0.355,,,,,0,0.331,0.326,0.373333333,0.382,0.355
02-07,,,,0.334,0.327,,,,,0.356,0.295,,,0.396,0.312,,,0.412,,0.382,,,,,,0.355,,,,,0,0.3305,0.3255,0.373333333,0.382,0.355
02-08,,,,0.334,0.326,,,,,0.356,0.295,,,0.396,0.312,,,0.412,,0.382,,,,,,0.356,,,,,0,0.33,0.3255,0.373333333,0.382,0.356
02-09,,,,0.335,0.327,,,,,0.356,0.295,,,0.396,0.312,,,0.412,,0.383,,,,,,0.355,,,,,0,0.331,0.3255,0.373333333,0.383,0.355
02-10,,,,0.335,0.326,,,,,0.356,0.295,,,0.396,0.311,,,0.412,,0.382,,,,,,0.355,,,,,0,0.3305,0.3255,0.373,0.382,0.355
02-11,,,,0.335,0.326,,,,,0.356,0.295,,,0.396,0.312,,,0.412,,0.383,,,,,,0.355,,,,,0.2,0.3305,0.3255,0.373333333,0.383,0.355
02-12,,,,0.336,0.327,,,,,0.356,0.295,,,0.396,0.312,,,0.413,,0.383,,,,,,0.355,,,,,0,0.3315,0.3255,0.373666667,0.383,0.355
02-13,,,,0.334,0.327,,,,,0.356,0.294,,,0.396,0.313,,,0.413,,0.383,,,,,,0.355,,,,,0,0.3305,0.325,0.374,0.383,0.355
02-14,,,,0.333,0.325,,,,,0.356,0.294,,,0.397,0.313,,,0.413,,0.383,,,,,,0.356,,,,,0,0.329,0.325,0.374333333,0.383,0.356
02-15,,,,0.333,0.323,,,,,0.355,0.293,,,0.396,0.313,,,0.413,,0.383,,,,,,0.356,,,,,0,0.328,0.324,0.374,0.383,0.356
02-16,,,,0.329,0.322,,,,,0.354,0.291,,,0.397,0.313,,,0.413,,0.383,,,,,,0.356,,,,,0,0.3255,0.3225,0.374333333,0.383,0.356
02-17,,,,0.33,0.322,,,,,0.353,0.291,,,0.396,0.313,,,0.412,,0.383,,,,,,0.355,,,,,0,0.326,0.322,0.373666667,0.383,0.355
02-18,,,,0.33,0.322,,,,,0.354,0.292,,,0.396,0.313,,,0.413,,0.383,,,,,,0.355,,,,,0,0.326,0.323,0.374,0.383,0.355
02-19,,,,0.329,0.322,,,,,0.355,0.291,,,0.396,0.312,,,0.412,,0.383,,,,,,0.355,,,,,0,0.3255,0.323,0.373333333,0.383,0.355
02-20,,,,0.327,0.32,,,,,0.353,0.29,,,0.396,0.312,,,0.412,,0.383,,,,,,0.354,,,,,0,0.3235,0.3215,0.373333333,0.383,0.354
02-21,,,,0.326,0.32,,,,,0.353,0.29,,,0.396,0.312,,,0.412,,0.383,,,,,,0.355,,,,,0,0.323,0.3215,0.373333333,0.383,0.355
02-22,,,,0.326,0.32,,,,,0.353,0.289,,,0.396,0.312,,,0.412,,0.383,,,,,,0.355,,,,,0,0.323,0.321,0.373333333,0.383,0.355
02-23,,,,0.325,0.32,,,,,0.352,0.29,,,0.396,0.312,,,0.412,,0.383,,,,,,0.355,,,,,0,0.3225,0.321,0.373333333,0.383,0.355
03-00,,,,0.325,0.318,,,,,0.351,0.289,,,0.397,0.311,,,0.412,,0.383,,,,,,0.355,,,,,0,0.3215,0.32,0.373333333,0.383,0.355
03-01,,,,0.325,0.318,,,,,0.352,0.288,,,0.396,0.312,,,0.412,,0.383,,,,,,0.355,,,,,0,0.3215,0.32,0.373333333,0.383,0.355
03-02,,,,0.325,0.319,,,,,0.35,0.288,,,0.396,0.312,,,0.412,,0.383,,,,,,0.355,,,,,0,0.322,0.319,0.373333333,0.383,0.355
03-03,,,,0.325,0.318,,,,,0.35,0.288,,,0.396,0.312,,,0.412,,0.383,,,,,,0.354,,,,,0,0.3215,0.319,0.373333333,0.383,0.354
03-04,,,,0.324,0.318,,,,,0.35,0.288,,,0.395,0.312,,,0.412,,0.383,,,,,,0.355,,,,,0,0.321,0.319,0.373,0.383,0.355
03-05,,,,0.325,0.318,,,,,0.351,0.288,,,0.396,0.312,,,0.411,,0.383,,,,,,0.354,,,,,0,0.3215,0.3195,0.373,0.383,0.354
03-06,,,,0.324,0.318,,,,,0.351,0.288,,,0.396,0.313,,,0.411,,0.383,,,,,,0.355,,,,,0,0.321,0.3195,0.373333333,0.383,0.355
03-07,,,,0.325,0.319,,,,,0.351,0.288,,,0.396,0.313,,,0.412,,0.383,,,,,,0.354,,,,,0,0.322,0.3195,0.373666667,0.383,0.354
03-08,,,,0.325,0.318,,,,,0.351,0.288,,,0.396,0.313,,,0.413,,0.383,,,,,,0.354,,,,,0,0.3215,0.3195,0.374,0.383,0.354
03-09,,,,0.326,0.319,,,,,0.351,0.288,,,0.396,0.313,,,0.412,,0.383,,,,,,0.355,,,,,0,0.3225,0.3195,0.373666667,0.383,0.355
03-10,,,,0.325,0.319,,,,,0.351,0.288,,,0.396,0.313,,,0.412,,0.383,,,,,,0.355,,,,,0,0.322,0.3195,0.373666667,0.383,0.355
03-11,,,,0.325,0.318,,,,,0.351,0.288,,,0.396,0.313,,,0.412,,0.383,,,,,,0.354,,,,,0,0.3215,0.3195,0.373666667,0.383,0.354
03-12,,,,0.325,0.318,,,,,0.351,0.289,,,0.396,0.313,,,0.412,,0.382,,,,,,0.355,,,,,0,0.3215,0.32,0.373666667,0.382,0.355
03-13,,,,0.325,0.318,,,,,0.351,0.288,,,0.396,0.313,,,0.413,,0.383,,,,,,0.354,,,,,0,0.3215,0.3195,0.374,0.383,0.354
03-14,,,,0.325,0.318,,,,,0.351,0.288,,,0.397,0.313,,,0.412,,0.383,,,,,,0.355,,,,,0.5,0.3215,0.3195,0.374,0.383,0.355
03-15,,,,0.326,0.32,,,,,0.352,0.29,,,0.397,0.314,,,0.413,,0.383,,,,,,0.354,,,,,1.2,0.323,0.321,0.374666667,0.383,0.354
03-16,,,,0.329,0.321,,,,,0.353,0.291,,,0.397,0.314,,,0.412,,0.383,,,,,,0.355,,,,,1.7,0.325,0.322,0.374333333,0.383,0.355
03-17,,,,0.333,0.325,,,,,0.355,0.296,,,0.397,0.315,,,0.414,,0.383,,,,,,0.355,,,,,0.5,0.329,0.3255,0.375333333,0.383,0.355
03-18,,,,0.333,0.326,,,,,0.356,0.297,,,0.397,0.315,,,0.414,,0.383,,,,,,0.356,,,,,0,0.3295,0.3265,0.375333333,0.383,0.356
03-19,,,,0.334,0.325,,,,,0.356,0.296,,,0.397,0.315,,,0.414,,0.383,,,,,,0.356,,,,,0,0.3295,0.326,0.375333333,0.383,0.356
03-20,,,,0.332,0.324,,,,,0.355,0.295,,,0.397,0.315,,,0.414,,0.383,,,,,,0.356,,,,,0,0.328,0.325,0.375333333,0.383,0.356
03-21,,,,0.331,0.323,,,,,0.355,0.295,,,0.397,0.315,,,0.413,,0.383,,,,,,0.355,,,,,0,0.327,0.325,0.375,0.383,0.355
03-22,,,,0.33,0.323,,,,,0.355,0.294,,,0.397,0.315,,,0.413,,0.383,,,,,,0.355,,,,,0,0.3265,0.3245,0.375,0.383,0.355
03-23,,,,0.331,0.323,,,,,0.354,0.294,,,0.397,0.314,,,0.413,,0.384,,,,,,0.354,,,,,0,0.327,0.324,0.374666667,0.384,0.354
04-00,,,,0.33,0.323,,,,,0.354,0.294,,,0.397,0.315,,,0.413,,0.383,,,,,,0.355,,,,,0,0.3265,0.324,0.375,0.383,0.355
04-01,,,,0.331,0.322,,,,,0.354,0.295,,,0.397,0.315,,,0.413,,0.383,,,,,,0.354,,,,,0,0.3265,0.3245,0.375,0.383,0.354
04-02,,,,0.33,0.322,,,,,0.354,0.294,,,0.397,0.314,,,0.413,,0.383,,,,,,0.355,,,,,0,0.326,0.324,0.374666667,0.383,0.355
04-03,,,,0.33,0.322,,,,,0.354,0.293,,,0.397,0.315,,,0.413,,0.383,,,,,,0.355,,,,,0,0.326,0.3235,0.375,0.383,0.355
04-04,,,,0.332,0.324,,,,,0.355,0.296,,,0.397,0.315,,,0.413,,0.384,,,,,,0.355,,,,,9.2,0.328,0.3255,0.375,0.384,0.355
04-05,,,,0.348,0.365,,,,,0.37,0.333,,,0.4,0.32,,,0.416,,0.386,,,,,,0.359,,,,,6.3,0.3565,0.3515,0.378666667,0.386,0.359
04-06,,,,0.354,0.379,,,,,0.375,0.345,,,0.402,0.321,,,0.419,,0.387,,,,,,0.359,,,,,0.8,0.3665,0.36,0.380666667,0.387,0.359
04-07,,,,0.357,0.381,,,,,0.381,0.349,,,0.403,0.321,,,0.42,,0.386,,,,,,0.359,,,,,0,0.369,0.365,0.381333333,0.386,0.359
04-08,,,,0.359,0.383,,,,,0.384,0.351,,,0.403,0.322,,,0.421,,0.386,,,,,,0.359,,,,,0,0.371,0.3675,0.382,0.386,0.359
04-09,,,,0.359,0.383,,,,,0.387,0.352,,,0.404,0.322,,,0.422,,0.386,,,,,,0.359,,,,,0,0.371,0.3695,0.382666667,0.386,0.359
04-10,,,,0.36,0.383,,,,,0.388,0.352,,,0.404,0.322,,,0.422,,0.386,,,,,,0.359,,,,,0,0.3715,0.37,0.382666667,0.386,0.359
04-11,,,,0.36,0.383,,,,,0.389,0.354,,,0.404,0.322,,,0.422,,0.386,,,,,,0.359,,,,,0,0.3715,0.3715,0.382666667,0.386,0.359
04-12,,,,0.36,0.383,,,,,0.389,0.353,,,0.405,0.322,,,0.423,,0.386,,,,,,0.359,,,,,0,0.3715,0.371,0.383333333,0.386,0.359
04-13,,,,0.36,0.383,,,,,0.389,0.353,,,0.404,0.322,,,0.422,,0.386,,,,,,0.359,,,,,0,0.3715,0.371,0.382666667,0.386,0.359
04-14,,,,0.36,0.383,,,,,0.389,0.353,,,0.405,0.322,,,0.422,,0.386,,,,,,0.359,,,,,0,0.3715,0.371,0.383,0.386,0.359
04-15,,,,0.36,0.382,,,,,0.39,0.353,,,0.405,0.322,,,0.423,,0.386,,,,,,0.359,,,,,0,0.371,0.3715,0.383333333,0.386,0.359
04-16,,,,0.359,0.381,,,,,0.389,0.353,,,0.405,0.322,,,0.423,,0.386,,,,,,0.359,,,,,0,0.37,0.371,0.383333333,0.386,0.359
04-17,,,,0.359,0.381,,,,,0.388,0.353,,,0.405,0.322,,,0.422,,0.386,,,,,,0.358,,,,,0,0.37,0.3705,0.383,0.386,0.358
04-18,,,,0.358,0.379,,,,,0.387,0.352,,,0.405,0.321,,,0.423,,0.386,,,,,,0.358,,,,,0,0.3685,0.3695,0.383,0.386,0.358
04-19,,,,0.357,0.378,,,,,0.386,0.351,,,0.404,0.321,,,0.423,,0.386,,,,,,0.358,,,,,0,0.3675,0.3685,0.382666667,0.386,0.358
04-20,,,,0.357,0.376,,,,,0.384,0.35,,,0.403,0.32,,,0.422,,0.386,,,,,,0.358,,,,,0,0.3665,0.367,0.381666667,0.386,0.358
04-21,,,,0.356,0.375,,,,,0.382,0.35,,,0.403,0.32,,,0.422,,0.386,,,,,,0.358,,,,,0,0.3655,0.366,0.381666667,0.386,0.358
04-22,,,,0.356,0.374,,,,,0.38,0.349,,,0.403,0.319,,,0.422,,0.386,,,,,,0.357,,,,,0,0.365,0.3645,0.381333333,0.386,0.357
04-23,,,,0.356,0.374,,,,,0.378,0.349,,,0.403,0.319,,,0.421,,0.386,,,,,,0.357,,,,,0,0.365,0.3635,0.381,0.386,0.357
05-00,,,,0.355,0.373,,,,,0.378,0.348,,,0.403,0.319,,,0.421,,0.385,,,,,,0.357,,,,,0,0.364,0.363,0.381,0.385,0.357
05-01,,,,0.356,0.373,,,,,0.378,0.347,,,0.402,0.319,,,0.421,,0.385,,,,,,0.357,,,,,0,0.3645,0.3625,0.380666667,0.385,0.357
05-02,,,,0.356,0.373,,,,,0.378,0.347,,,0.402,0.319,,,0.421,,0.385,,,,,,0.358,,,,,0,0.3645,0.3625,0.380666667,0.385,0.358
05-03,,,,0.356,0.373,,,,,0.38,0.348,,,0.403,0.319,,,0.421,,0.385,,,,,,0.357,,,,,0,0.3645,0.364,0.381,0.385,0.357
05-04,,,,0.356,0.372,,,,,0.379,0.349,,,0.402,0.319,,,0.421,,0.385,,,,,,0.357,,,,,0,0.364,0.364,0.380666667,0.385,0.357
05-05,,,,0.356,0.372,,,,,0.379,0.349,,,0.403,0.319,,,0.421,,0.385,,,,,,0.357,,,,,0,0.364,0.364,0.381,0.385,0.357
05-06,,,,0.356,0.372,,,,,0.379,0.348,,,0.403,0.319,,,0.42,,0.385,,,,,,0.357,,,,,0,0.364,0.3635,0.380666667,0.385,0.357
