DAY_HOUR,H_M1005,A_M1005,H_M2005,A_M2005,H_M3005,A_M3005,H_M1010,A_M1010,H_M2010,A_M2010,H_M3010,A_M3010,H_M1020,A_M1020,H_M2020,A_M2020,H_M3020,A_M3020,H_M1050,A_M1050,H_M2050,A_M2050,H_M3050,A_M3050,H_M1100,A_M1100,H_M2100,A_M2100,H_M3100,A_M3100,P_OFFICIAL,MEAN_M_5,MEAN_M_10,MEAN_M_20,MEAN_M_50,MEAN_M_100
01-00,,,,0.044,,,,,,0.017,0.015,,,0.06,0.086,,,0.016,,0.066,,,,,,0.199,,,,,0,0.044,0.016,0.054,0.066,0.199
01-01,,,,0.044,,,,,,0.017,0.015,,,0.06,0.086,,,0.016,,0.066,,,,,,0.2,,,,,0,0.044,0.016,0.054,0.066,0.2
01-02,,,,0.044,,,,,,0.017,0.015,,,0.059,0.084,,,0.016,,0.066,,,,,,0.199,,,,,0,0.044,0.016,0.053,0.066,0.199
01-03,,,,0.044,,,,,,0.017,0.015,,,0.059,0.083,,,0.016,,0.066,,,,,,0.199,,,,,0,0.044,0.016,0.052666667,0.066,0.199
01-04,,,,0.044,,,,,,0.017,0.014,,,0.059,0.083,,,0.016,,0.066,,,,,,0.199,,,,,0,0.044,0.0155,0.052666667,0.066,0.199
01-05,,,,0.044,,,,,,0.017,0.015,,,0.059,0.084,,,0.016,,0.066,,,,,,0.199,,,,,0,0.044,0.016,0.053,0.066,0.199
01-06,,,,0.044,,,,,,0.017,0.014,,,0.059,0.082,,,0.016,,0.066,,,,,,0.199,,,,,0,0.044,0.0155,0.052333333,0.066,0.199
01-07,,,,0.044,,,,,,0.017,0.011,,,0.06,0.083,,,0.016,,0.066,,,,,,0.199,,,,,0,0.044,0.014,0.053,0.066,0.199
01-08,,,,0.044,,,,,,0.017,0.01,,,0.059,0.081,,,0.016,,0.066,,,,,,0.199,,,,,0,0.044,0.0135,0.052,0.066,0.199
01-09,,,,0.044,,,,,,0.017,,,,0.06,0.081,,,0.016,,0.066,,,,,,0.199,,,,,0,0.044,0.017,0.052333333,0.066,0.199
01-10,,,,0.77,,,,,,0.157,,,,1.078,0.081,,,0.148,,1.7,,,,,,3.576,,,,,0.2,0.77,0.157,0.435666667,1.7,3.576
01-11,,,,0.044,,,,,,0.017,,,,0.06,0.081,,,0.016,,0.066,,,,,,0.199,,,,,0,0.044,0.017,0.052333333,0.066,0.199
01-12,,,,0.044,,,,,,0.017,,,,0.06,0.08,,,0.016,,0.066,,,,,,0.199,,,,,0,0.044,0.017,0.052,0.066,0.199
01-13,,,,0.044,,,,,,0.017,,,,0.06,0.08,,,0.016,,0.066,,,,,,0.199,,,,,0,0.044,0.017,0.052,0.066,0.199
01-14,,,,0.044,,,,,,0.017,,,,0.06,0.078,,,0.016,,0.066,,,,,,0.198,,,,,0,0.044,0.017,0.051333333,0.066,0.198
01-15,,,,0.044,,,,,,0.017,,,,0.059,0.079,,,0.016,,0.067,,,,,,0.197,,,,,0,0.044,0.017,0.051333333,0.067,0.197
01-16,,,,0.044,,,,,,0.017,,,,0.059,0.078,,,0.016,,0.066,,,,,,0.197,,,,,0,0.044,0.017,0.051,0.066,0.197
01-17,,,,0.043,,,,,,0.017,,,,0.059,0.076,,,0.016,,0.066,,,,,,0.196,,,,,0,0.043,0.017,0.050333333,0.066,0.196
01-18,,,,0.043,,,,,,0.017,,,,0.058,0.076,,,0.016,,0.065,,,,,,0.195,,,,,0,0.043,0.017,0.05,0.065,0.195
01-19,,,,0.043,,,,,,0.017,,,,0.518,0.074,,,0.016,,0.065,,,,,,0.194,,,,,0,0.043,0.017,0.202666667,0.065,0.194
01-20,,,,0.042,,,,,,0.017,,,,0.056,0.075,,,0.016,,0.064,,,,,,0.194,,,,,0,0.042,0.017,0.049,0.064,0.194
01-21,,,,0.041,,,,,,0.017,,,,0.055,0.072,,,0.016,,0.064,,,,,,0.193,,,,,0,0.041,0.017,0.047666667,0.064,0.193
01-22,,,,0.041,,,,,,0.017,,,,0.054,0.07,,,0.016,,0.063,,,,,,0.193,,,,,0,0.041,0.017,0.046666667,0.063,0.193
01-23,,,,0.041,,,,,,0.017,,,,0.499,0.07,,,0.016,,0.583,,,,,,0.192,,,,,0,0.041,0.017,0.195,0.583,0.192
02-00,,,,0.041,,,,,,0.017,,,,0.053,0.07,,,0.016,,0.063,,,,,,0.192,,,,,0,0.041,0.017,0.046333333,0.063,0.192
02-01,,,,0.041,,,,,,0.017,,,,0.053,0.071,,,0.016,,0.063,,,,,,0.191,,,,,0.2,0.041,0.017,0.046666667,0.063,0.191
02-02,,,,0.041,,,,,,0.017,,,,,0.068,,,0.139,,0.574,,,,,,0.192,,,,,0,0.041,0.017,0.1035,0.574,0.192
02-03,,,,0.041,,,,,,0.017,,,,0.195,0.069,,,0.016,,0.063,,,,,,0.191,,,,,0,0.041,0.017,0.093333333,0.063,0.191
02-04,,,,0.041,,,,,,0.017,,,,0.052,0.069,,,0.016,,0.063,,,,,,0.191,,,,,0,0.041,0.017,0.045666667,0.063,0.191
02-05,,,,0.447,,,,,,0.17,,,,0.051,0.068,,,0.016,,0.063,,,,,,0.191,,,,,0,0.447,0.17,0.045,0.063,0.191
02-06,,,,0.041,,,,,,0.017,,,,0.051,0.067,,,0.016,,0.063,,,,,,0.191,,,,,0,0.041,0.017,0.044666667,0.063,0.191
02-07,,,,0.041,,,,,,0.017,,,,0.051,0.066,,,0.016,,0.063,,,,,,0.191,,,,,0,0.041,0.017,0.044333333,0.063,0.191
02-08,,,,0.041,,,,,,0.017,,,,0.051,0.066,,,0.016,,0.063,,,,,,0.191,,,,,0,0.041,0.017,0.044333333,0.063,0.191
02-09,,,,0.041,,,,,,0.017,,,,0.051,0.067,,,0.016,,0.063,,,,,,0.191,,,,,0,0.041,0.017,0.044666667,0.063,0.191
02-10,,,,0.041,,,,,,0.017,,,,0.051,0.067,,,0.016,,0.063,,,,,,0.191,,,,,0,0.041,0.017,0.044666667,0.063,0.191
02-11,,,,0.041,,,,,,0.017,,,,0.051,0.068,,,0.016,,0.063,,,,,,0.191,,,,,0.3,0.041,0.017,0.045,0.063,0.191
02-12,,,,0.04,,,,,,0.017,,,,0.051,0.067,,,0.016,,0.063,,,,,,0.191,,,,,0,0.04,0.017,0.044666667,0.063,0.191
02-13,,,,0.041,,,,,,0.017,,,,0.05,0.065,,,0.016,,0.064,,,,,,0.19,,,,,0,0.041,0.017,0.043666667,0.064,0.19
02-14,,,,0.04,,,,,,0.017,,,,0.05,0.066,,,0.016,,0.063,,,,,,0.19,,,,,0,0.04,0.017,0.044,0.063,0.19
02-15,,,,0.04,,,,,,0.017,,,,0.05,0.065,,,0.016,,0.063,,,,,,0.19,,,,,0,0.04,0.017,0.043666667,0.063,0.19
02-16,,,,0.039,,,,,,0.017,,,,0.049,0.065,,,0.016,,0.063,,,,,,0.189,,,,,0,0.039,0.017,0.043333333,0.063,0.189
02-17,,,,0.039,,,,,,0.017,,,,0.048,0.063,,,0.015,,0.062,,,,,,0.188,,,,,0,0.039,0.017,0.042,0.062,0.188
02-18,,,,0.038,,,,,,0.017,,,,0.047,0.062,,,0.015,,0.061,,,,,,0.188,,,,,0,0.038,0.017,0.041333333,0.061,0.188
02-19,,,,0.038,,,,,,0.017,,,,0.046,0.058,,,0.015,,0.06,,,,,,0.187,,,,,0,0.038,0.017,0.039666667,0.06,0.187
02-20,,,,0.037,,,,,,0.017,,,,0.045,0.057,,,0.015,,0.06,,,,,,0.186,,,,,0.4,0.037,0.017,0.039,0.06,0.186
02-21,,,,0.036,,,,,,0.017,,,,0.044,0.057,,,0.015,,0.059,,,,,,0.186,,,,,0,0.036,0.017,0.038666667,0.059,0.186
02-22,,,,0.036,,,,,,0.017,,,,0.044,0.057,,,0.015,,0.059,,,,,,0.185,,,,,0,0.036,0.017,0.038666667,0.059,0.185
02-23,,,,0.036,,,,,,0.017,,,,0.043,0.055,,,0.015,,0.059,,,,,,0.185,,,,,0,0.036,0.017,0.037666667,0.059,0.185
03-00,,,,0.035,,,,,,0.017,,,,0.043,0.056,,,0.015,,0.059,,,,,,0.185,,,,,0,0.035,0.017,0.038,0.059,0.185
03-01,,,,0.035,,,,,,0.017,,,,0.043,0.056,,,0.015,,0.059,,,,,,0.184,,,,,0,0.035,0.017,0.038,0.059,0.184
03-02,,,,0.035,,,,,,0.017,,,,0.043,0.056,,,0.015,,0.059,,,,,,0.185,,,,,0,0.035,0.017,0.038,0.059,0.185
03-03,,,,0.035,,,,,,0.017,,,,0.043,0.057,,,0.015,,0.059,,,,,,0.184,,,,,0,0.035,0.017,0.038333333,0.059,0.184
03-04,,,,0.035,,,,,,0.017,,,,0.043,0.057,,,0.015,,0.059,,,,,,0.184,,,,,0,0.035,0.017,0.038333333,0.059,0.184
03-05,,,,0.035,,,,,,0.017,,,,0.042,0.055,,,0.015,,0.059,,,,,,0.184,,,,,0,0.035,0.017,0.037333333,0.059,0.184
03-06,,,,0.035,,,,,,0.017,,,,0.043,0.054,,,0.015,,0.059,,,,,,0.185,,,,,0,0.035,0.017,0.037333333,0.059,0.185
03-07,,,,0.035,,,,,,0.017,,,,0.043,0.054,,,0.016,,0.059,,,,,,0.185,,,,,0,0.035,0.017,0.037666667,0.059,0.185
