DAY_HOUR,H_M1005,A_M1005,H_M2005,A_M2005,H_M3005,A_M3005,H_M1010,A_M1010,H_M2010,A_M2010,H_M3010,A_M3010,H_M1020,A_M1020,H_M2020,A_M2020,H_M3020,A_M3020,H_M1050,A_M1050,H_M2050,A_M2050,H_M3050,A_M3050,H_M1100,A_M1100,H_M2100,A_M2100,H_M3100,A_M3100,P_OFFICIAL,MEAN_M_5,MEAN_M_10,MEAN_M_20,MEAN_M_50,MEAN_M_100
01-00,,,,0.015,,,,,,0.019,,,,0.015,0.021,,,0.016,,0.021,,,,,,0.13,,,,,0,0.015,0.019,0.017333333,0.021,0.13
01-01,,,,0.015,,,,,,0.019,,,,0.015,0.023,,,0.016,,0.021,,,,,,0.13,,,,,0,0.015,0.019,0.018,0.021,0.13
01-02,,,,0.015,,,,,,0.019,,,,0.015,0.025,,,0.016,,0.021,,,,,,0.13,,,,,0,0.015,0.019,0.018666667,0.021,0.13
01-03,,,,0.015,,,,,,0.019,,,,0.015,0.021,,,0.016,,0.021,,,,,,0.13,,,,,0,0.015,0.019,0.017333333,0.021,0.13
01-04,,,,0.015,,,,,,0.019,,,,0.015,0.023,,,0.016,,0.021,,,,,,0.13,,,,,0,0.015,0.019,0.018,0.021,0.13
01-05,,,,0.014,,,,,,0.019,,,,0.015,0.023,,,0.016,,0.021,,,,,,0.13,,,,,0,0.014,0.019,0.018,0.021,0.13
01-06,,,,0.014,,,,,,0.019,,,,0.015,0.023,,,0.016,,0.021,,,,,,0.13,,,,,0,0.014,0.019,0.018,0.021,0.13
01-07,,,,0.014,,,,,,0.019,,,,0.015,0.023,,,0.016,,0.021,,,,,,0.13,,,,,0,0.014,0.019,0.018,0.021,0.13
01-08,,,,0.014,,,,,,0.019,,,,0.015,0.023,,,0.016,,0.021,,,,,,0.13,,,,,0,0.014,0.019,0.018,0.021,0.13
01-09,,,,0.014,,,,,,0.019,,,,0.015,0.023,,,0.016,,0.021,,,,,,0.13,,,,,0,0.014,0.019,0.018,0.021,0.13
01-10,,,,0.014,,,,,,0.019,,,,0.015,0.023,,,0.016,,0.021,,,,,,0.13,,,,,0,0.014,0.019,0.018,0.021,0.13
01-11,,,,0.014,,,,,,0.019,,,,0.015,0.022,,,0.016,,0.021,,,,,,0.13,,,,,0,0.014,0.019,0.017666667,0.021,0.13
01-12,,,,0.014,,,,,,0.019,,,,0.015,0.023,,,0.016,,0.021,,,,,,0.13,,,,,0,0.014,0.019,0.018,0.021,0.13
01-13,,,,0.014,,,,,,0.019,,,,0.015,0.023,,,0.016,,0.021,,,,,,0.13,,,,,0,0.014,0.019,0.018,0.021,0.13
01-14,,,,0.014,,,,,,0.019,,,,0.015,0.021,,,0.016,,0.021,,,,,,0.13,,,,,0,0.014,0.019,0.017333333,0.021,0.13
01-15,,,,0.014,,,,,,0.019,,,,0.015,0.022,,,0.016,,0.021,,,,,,0.13,,,,,0,0.014,0.019,0.017666667,0.021,0.13
01-16,,,,0.014,,,,,,0.019,,,,0.015,0.022,,,0.016,,0.02,,,,,,0.129,,,,,0,0.014,0.019,0.017666667,0.02,0.129
01-17,,,,0.014,,,,,,0.019,,,,0.015,0.02,,,0.016,,0.02,,,,,,0.129,,,,,0,0.014,0.019,0.017,0.02,0.129
01-18,,,,0.014,,,,,,0.019,,,,0.014,0.022,,,0.016,,0.02,,,,,,0.129,,,,,0,0.014,0.019,0.017333333,0.02,0.129
01-19,,,,0.014,,,,,,0.018,,,,0.015,0.023,,,0.016,,0.02,,,,,,0.128,,,,,0,0.014,0.018,0.018,0.02,0.128
01-20,,,,0.014,,,,,,0.019,,,,0.014,0.024,,,0.016,,0.02,,,,,,0.128,,,,,0,0.014,0.019,0.018,0.02,0.128
01-21,,,,0.014,,,,,,0.018,,,,0.014,0.023,,,0.016,,0.02,,,,,,0.127,,,,,0,0.014,0.018,0.017666667,0.02,0.127
01-22,,,,0.014,,,,,,0.018,,,,0.014,0.025,,,0.016,,0.02,,,,,,0.127,,,,,0,0.014,0.018,0.018333333,0.02,0.127
01-23,,,,0.014,,,,,,0.018,,,,0.014,0.025,,,0.016,,0.02,,,,,,0.127,,,,,0,0.014,0.018,0.018333333,0.02,0.127
02-00,,,,0.014,,,,,,0.018,,,,0.014,0.025,,,0.016,,0.02,,,,,,0.127,,,,,0,0.014,0.018,0.018333333,0.02,0.127
02-01,,,,0.014,,,,,,0.018,,,,0.014,0.026,,,0.016,,0.02,,,,,,0.127,,,,,0,0.014,0.018,0.018666667,0.02,0.127
02-02,,,,0.014,,,,,,0.018,,,,0.014,0.023,,,0.016,,0.02,,,,,,0.127,,,,,0,0.014,0.018,0.017666667,0.02,0.127
02-03,,,,0.014,,,,,,0.018,,,,0.014,0.021,,,0.016,,0.02,,,,,,0.127,,,,,0,0.014,0.018,0.017,0.02,0.127
02-04,,,,0.014,,,,,,0.018,,,,0.014,0.021,,,0.016,,0.02,,,,,,0.127,,,,,0,0.014,0.018,0.017,0.02,0.127
02-05,,,,0.014,,,,,,0.018,,,,0.014,0.021,,,0.016,,0.02,,,,,,0.127,,,,,0,0.014,0.018,0.017,0.02,0.127
02-06,,,,0.014,,,,,,0.018,,,,0.014,0.019,,,0.016,,0.02,,,,,,0.127,,,,,0,0.014,0.018,0.016333333,0.02,0.127
02-07,,,,0.014,,,,,,0.018,,,,0.014,0.02,,,0.016,,0.02,,,,,,0.127,,,,,0,0.014,0.018,0.016666667,0.02,0.127
02-08,,,,0.014,,,,,,0.018,,,,0.014,0.021,,,0.016,,0.02,,,,,,0.127,,,,,0,0.014,0.018,0.017,0.02,0.127
02-09,,,,0.014,,,,,,0.018,,,,0.014,0.021,,,0.016,,0.02,,,,,,0.127,,,,,0,0.014,0.018,0.017,0.02,0.127
02-10,,,,0.014,,,,,,0.018,,,,0.014,0.022,,,0.016,,0.02,,,,,,0.127,,,,,0,0.014,0.018,0.017333333,0.02,0.127
02-11,,,,0.014,,,,,,0.018,,,,0.014,0.021,,,0.016,,0.02,,,,,,0.127,,,,,0,0.014,0.018,0.017,0.02,0.127
02-12,,,,0.014,,,,,,0.018,,,,0.014,0.021,,,0.016,,0.02,,,,,,0.128,,,,,0,0.014,0.018,0.017,0.02,0.128
02-13,,,,0.014,,,,,,0.018,,,,0.014,0.022,,,0.016,,0.02,,,,,,0.127,,,,,0,0.014,0.018,0.017333333,0.02,0.127
02-14,,,,0.014,,,,,,0.018,,,,0.014,0.022,,,0.016,,0.02,,,,,,0.127,,,,,0,0.014,0.018,0.017333333,0.02,0.127
02-15,,,,0.014,,,,,,0.018,,,,0.014,0.023,,,0.016,,0.02,,,,,,0.127,,,,,0,0.014,0.018,0.017666667,0.02,0.127
02-16,,,,0.014,,,,,,0.018,,,,0.014,0.021,,,0.016,,0.019,,,,,,0.127,,,,,0,0.014,0.018,0.017,0.019,0.127
02-17,,,,0.014,,,,,,0.018,,,,0.014,0.019,,,0.015,,0.019,,,,,,0.127,,,,,0,0.014,0.018,0.016,0.019,0.127
02-18,,,,0.014,,,,,,0.017,,,,0.014,0.018,,,0.015,,0.019,,,,,,0.126,,,,,0,0.014,0.017,0.015666667,0.019,0.126
02-19,,,,0.014,,,,,,0.017,,,,0.014,0.021,,,0.015,,0.019,,,,,,0.125,,,,,0,0.014,0.017,0.016666667,0.019,0.125
02-20,,,,0.014,,,,,,0.017,,,,0.014,0.02,,,0.015,,0.019,,,,,,0.125,,,,,0,0.014,0.017,0.016333333,0.019,0.125
02-21,,,,0.014,,,,,,0.017,,,,0.014,0.021,,,0.015,,0.019,,,,,,0.125,,,,,0,0.014,0.017,0.016666667,0.019,0.125
02-22,,,,0.014,,,,,,0.017,,,,0.014,0.019,,,0.015,,0.019,,,,,,0.125,,,,,0,0.014,0.017,0.016,0.019,0.125
02-23,,,,0.014,,,,,,0.017,,,,0.014,0.021,,,0.015,,0.019,,,,,,0.124,,,,,0,0.014,0.017,0.016666667,0.019,0.124
03-00,,,,0.014,,,,,,0.017,,,,0.014,0.019,,,0.015,,0.019,,,,,,0.124,,,,,0,0.014,0.017,0.016,0.019,0.124
03-01,,,,0.014,,,,,,0.017,,,,0.014,0.022,,,0.015,,0.019,,,,,,0.124,,,,,0,0.014,0.017,0.017,0.019,0.124
03-02,,,,0.014,,,,,,0.017,,,,0.014,0.022,,,0.015,,0.019,,,,,,0.125,,,,,0,0.014,0.017,0.017,0.019,0.125
03-03,,,,0.014,,,,,,0.017,,,,0.014,0.022,,,0.015,,0.019,,,,,,0.125,,,,,0,0.014,0.017,0.017,0.019,0.125
03-04,,,,0.014,,,,,,0.017,,,,0.014,0.022,,,0.015,,0.019,,,,,,0.125,,,,,0,0.014,0.017,0.017,0.019,0.125
03-05,,,,0.014,,,,,,0.017,,,,0.014,0.019,,,0.015,,0.019,,,,,,0.124,,,,,0,0.014,0.017,0.016,0.019,0.124
03-06,,,,0.014,,,,,,0.017,,,,0.014,0.022,,,0.015,,0.019,,,,,,0.125,,,,,0,0.014,0.017,0.017,0.019,0.125
03-07,,,,0.014,,,,,,0.017,,,,0.014,0.022,,,0.015,,0.019,,,,,,0.125,,,,,0,0.014,0.017,0.017,0.019,0.125
03-08,,,,0.014,,,,,,0.017,,,,0.014,0.022,,,0.015,,0.019,,,,,,0.125,,,,,0,0.014,0.017,0.017,0.019,0.125
03-09,,,,0.014,,,,,,0.017,,,,0.014,0.022,,,0.015,,0.019,,,,,,0.125,,,,,0,0.014,0.017,0.017,0.019,0.125
03-10,,,,0.014,,,,,,0.017,,,,0.014,0.02,,,0.015,,0.019,,,,,,0.125,,,,,0,0.014,0.017,0.016333333,0.019,0.125
03-11,,,,0.014,,,,,,0.017,,,,0.014,0.021,,,0.015,,0.019,,,,,,0.125,,,,,0,0.014,0.017,0.016666667,0.019,0.125
03-12,,,,0.014,,,,,,0.017,,,,0.014,0.02,,,0.015,,0.019,,,,,,0.125,,,,,0,0.014,0.017,0.016333333,0.019,0.125
03-13,,,,0.014,,,,,,0.017,,,,0.014,0.02,,,0.015,,0.019,,,,,,0.125,,,,,0,0.014,0.017,0.016333333,0.019,0.125
03-14,,,,0.014,,,,,,0.017,,,,0.014,0.021,,,0.015,,0.019,,,,,,0.125,,,,,0.2,0.014,0.017,0.016666667,0.019,0.125
03-15,,,,0.014,,,,,,0.017,,,,0.014,0.018,,,0.015,,0.019,,,,,,0.124,,,,,0,0.014,0.017,0.015666667,0.019,0.124
03-16,,,,0.014,,,,,,0.017,,,,0.014,0.02,,,0.015,,0.018,,,,,,0.125,,,,,0,0.014,0.017,0.016333333,0.018,0.125
03-17,,,,0.014,,,,,,0.017,,,,0.014,0.02,,,0.015,,0.018,,,,,,0.124,,,,,0,0.014,0.017,0.016333333,0.018,0.124
03-18,,,,0.014,,,,,,0.017,,,,0.014,0.021,,,0.015,,0.018,,,,,,0.124,,,,,0,0.014,0.017,0.016666667,0.018,0.124
03-19,,,,0.014,,,,,,0.017,,,,0.014,0.019,,,0.015,,0.018,,,,,,0.123,,,,,0,0.014,0.017,0.016,0.018,0.123
03-20,,,,0.013,,,,,,0.017,,,,0.014,0.019,,,0.014,,0.018,,,,,,0.122,,,,,0,0.013,0.017,0.015666667,0.018,0.122
03-21,,,,0.014,,,,,,0.017,,,,0.014,0.021,,,0.014,,0.018,,,,,,0.122,,,,,0,0.014,0.017,0.016333333,0.018,0.122
03-22,,,,0.014,,,,,,0.017,,,,0.014,0.022,,,0.014,,0.018,,,,,,0.122,,,,,0,0.014,0.017,0.016666667,0.018,0.122
03-23,,,,0.014,,,,,,0.017,,,,0.014,0.023,,,0.014,,0.018,,,,,,0.122,,,,,0,0.014,0.017,0.017,0.018,0.122
04-00,,,,0.014,,,,,,0.017,,,,0.014,0.022,,,0.014,,0.018,,,,,,0.122,,,,,0,0.014,0.017,0.016666667,0.018,0.122
04-01,,,,0.014,,,,,,0.017,,,,0.014,0.021,,,0.014,,0.018,,,,,,0.122,,,,,0,0.014,0.017,0.016333333,0.018,0.122
04-02,,,,0.014,,,,,,0.017,,,,0.014,0.022,,,0.014,,0.018,,,,,,0.122,,,,,0,0.014,0.017,0.016666667,0.018,0.122
04-03,,,,0.014,,,,,,0.017,,,,0.014,0.022,,,0.014,,0.017,,,,,,0.122,,,,,0,0.014,0.017,0.016666667,0.017,0.122
04-04,,,,0.013,,,,,,0.017,,,,0.014,0.019,,,0.014,,0.017,,,,,,0.122,,,,,0,0.013,0.017,0.015666667,0.017,0.122
04-05,,,,0.014,,,,,,0.017,,,,0.014,0.021,,,0.014,,0.018,,,,,,0.122,,,,,0,0.014,0.017,0.016333333,0.018,0.122
04-06,,,,0.014,,,,,,0.017,,,,0.014,0.02,,,0.014,,0.017,,,,,,0.122,,,,,0,0.014,0.017,0.016,0.017,0.122
04-07,,,,0.013,,,,,,0.017,,,,0.014,0.019,,,0.014,,0.017,,,,,,0.122,,,,,0,0.013,0.017,0.015666667,0.017,0.122
04-08,,,,0.014,,,,,,0.017,,,,0.014,0.019,,,0.014,,0.017,,,,,,0.122,,,,,0,0.014,0.017,0.015666667,0.017,0.122
04-09,,,,0.013,,,,,,0.017,,,,0.014,0.018,,,0.014,,0.018,,,,,,0.122,,,,,0,0.013,0.017,0.015333333,0.018,0.122
04-10,,,,0.013,,,,,,0.017,,,,0.014,0.018,,,0.014,,0.017,,,,,,0.122,,,,,0,0.013,0.017,0.015333333,0.017,0.122
04-11,,,,0.013,,,,,,0.017,,,,0.014,0.02,,,0.014,,0.018,,,,,,0.123,,,,,0,0.013,0.017,0.016,0.018,0.123
04-12,,,,0.013,,,,,,0.017,,,,0.014,0.019,,,0.014,,0.017,,,,,,0.122,,,,,0,0.013,0.017,0.015666667,0.017,0.122
04-13,,,,0.014,,,,,,0.017,,,,0.014,0.02,,,0.014,,0.017,,,,,,0.122,,,,,0,0.014,0.017,0.016,0.017,0.122
04-14,,,,0.013,,,,,,0.017,,,,0.014,0.02,,,0.014,,0.017,,,,,,0.122,,,,,0,0.013,0.017,0.016,0.017,0.122
